117,1000-1100-1000-54300-050,,,Copiers Repair/Maint,,"15,600.00","28,917.75","15,600.00","24,214.25","17,000.00","8,839.48","17,357.00",357.00,2.10%,
118,1000-1100-1000-54330-050,,,Software,,"6,153.00","6,153.00","6,153.00","4,457.43","6,153.00","4,496.97","5,908.00",-245.00,-3.98%,
119,1000-1100-1000-55800-050,,,Travel,,150.00,"3,060.92","1,500.00","2,121.11","3,290.00",236.61,"3,000.00",-290.00,-8.81%,
120,1000-1100-1000-56000-050,,,Supplies,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,
121,1000-1100-1000-56100-050,,,Instructional,Supplies,"45,470.00","40,457.76","45,479.00","36,679.93","45,651.00","17,926.46","43,477.00","-2,174.00",-4.76%,
122,1000-1100-1000-56400-050,,,Books,,"10,431.00","10,298.36","10,550.00","7,414.25","10,162.00","6,737.29","9,900.00",-262.00,-2.58%,
123,1000-1100-1000-57300-050,,,Equipment,,"20,272.00","19,297.87","22,792.00","19,869.71","26,963.00","11,699.37","24,461.00","-2,502.00",-9.28%,
124,1000-1100-1000-58100-050,,,Dues & Fees,,"3,013.00","2,426.99","3,013.00","2,419.00","3,123.00",45.00,"2,823.00",-300.00,-9.61%,
,,,,,Totals,"2,269,316.00","2,381,931.11","2,347,407.00","2,483,030.45","2,413,655.00","2,341,645.22","2,649,948.45","236,293.45",9.79%,
125,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
126,1000-1100-1000-59000-900,,,Contingency,,"175,000.00",0.00,"175,000.00",0.00,0.00,0.00,"177,039.00","177,039.00",100.00%,8
,,,,,Totals,"175,000.00",0.00,"175,000.00",0.00,0.00,0.00,"177,039.00","177,039.00",100.00%,
127,,,Cost Center:,950 - K-8,,,,,,,,,,,
128,1000-1100-1000-59000-950,,,CONTINGENCY,,0.00,0.00,0.00,0.00,"159,039.00",0.00,0.00,"-159,039.00",-100.00%,8
,,,,,Totals,0.00,0.00,0.00,0.00,"159,039.00",0.00,0.00,"-159,039.00",-100.00%,
,,,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$ Diff,% Diff,Notes,
129 Program:,1120 - K-2,PROGRAM,,,,,,,,,,,,,
130,Function:,1000 -,REGULAR,INSTRUCTION,,,,,,,,,,,
131,,,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,
132,1000-1120-1000-51010-010,,,Teacher Salaries,,"238,190.00","166,966.20","263,754.00","395,275.58","306,372.00","420,159.19","282,588.50","-23,783.50",-7.76%,10
133,1000-1120-1000-51020-010,,,Ed Tech Salaries,,"20,273.00","23,520.15","23,919.00","58,508.41","35,776.00","52,025.91","23,398.05","-12,377.95",-34.60%,
134,1000-1120-1000-52010-010,,,Teacher Benefits,,"81,269.00","65,025.04","63,149.00","125,817.07","93,909.00","21,852.96","81,043.45","-12,865.55",-13.70%,
135,1000-1120-1000-52020-010,,,Ed Tech Benefits,,"11,101.00","3,421.33","4,941.00","20,333.60","27,511.00","11,887.79","7,883.03","-19,627.97",-71.35%,
136,1000-1120-1000-52310-010,,,Retirement,,"9,456.00","6,844.32","10,972.00","11,597.56","12,745.00","2,943.45","12,119.26",-625.74,-4.91%,
137,1000-1120-1000-52320-010,,,Retirement,,805.00,933.74,995.00,"2,401.94","1,556.00",610.35,973.36,-582.64,-37.44%,
,,,,,Totals,"361,094.00","266,710.78","367,730.00","613,934.16","477,869.00","509,479.65","408,005.65","-69,863.35",-14.62%,
138,,,Cost Center:,020 - MORSE STREET,,,,,,,,,,,
139,1000-1120-1000-51010-020,,,Salaries,,"435,671.00","270,862.43","484,524.00","222,915.84","468,581.00","665,626.43","459,833.34","-8,747.66",-1.87%,10
140,1000-1120-1000-51020-020,,,Ed Tech Salaries,,"38,109.00","25,519.21","46,558.00","27,167.58","74,171.00","42,118.66","100,491.17","26,320.17",35.49%,
141,1000-1120-1000-52010-020,,,Benefits,,"125,090.00","49,236.40","117,712.00","41,324.57","97,364.00","16,572.54","65,513.54","-31,850.46",-32.71%,
142,1000-1120-1000-52020-020,,,Ed Tech Benefit,,"18,329.00","11,181.36","17,637.00","12,095.53","28,838.00","1,833.03","4,822.38","-24,015.62",-83.28%,
143,1000-1120-1000-52310-020,,,Retirement,,"17,296.00","10,298.04","20,303.00","9,459.58","19,493.00","4,268.16","19,129.07",-363.93,-1.87%,
144,1000-1120-1000-52320-020,,,Retirement,,"1,513.00",0.00,"1,937.00",0.00,"3,209.00",0.00,"2,303.31",-905.69,-28.22%,
,,,,,Totals,"636,008.00","367,097.44","688,671.00","312,963.10","691,656.00","730,418.82","652,092.81","-39,563.19",-5.72%,
145,,,Cost Center:,030 - POWNAL,ELEMENTARY,,,,,,,,,,
146,1000-1120-1000-51010-030,,,Teacher Salaries,,"78,148.00","52,571.00","74,821.00","55,451.50","93,404.00","79,840.96","60,682.35","-32,721.65",-35.03%,10
147,1000-1120-1000-51020-030,,,Ed Tech Salaries,,"19,991.00",0.00,"12,531.00",0.00,"10,555.00",0.00,"14,243.52","3,688.52",34.95%,
148,1000-1120-1000-52010-030,,,Teacher Benefits,,"30,163.00","20,442.94","25,207.00","20,993.07","24,223.00","4,811.36","23,147.82","-1,075.18",-4.44%,
149,1000-1120-1000-52020-030,,,Ed Tech Benefits,,"7,433.00",0.00,755.00,0.00,"1,095.00",0.00,286.08,-808.92,-73.87%,
150,1000-1120-1000-52310-030,,,Retirement,,"3,102.00","1,217.18","3,113.00","2,306.72","3,886.00",562.56,"2,602.46","-1,283.54",-33.03%,
151,1000-1120-1000-52320-030,,,Retirement,,794.00,0.00,521.00,0.00,457.00,0.00,592.53,135.53,29.66%,
,,,,,Totals,"139,631.00","74,231.12","116,948.00","78,751.29","133,620.00","85,214.88","101,554.76","-32,065.24",-24.00%,
152 Program:,1200 - SECONDARY,,PROGRAM,,,,,,,,,,,,
,,,,,,,,3 of 24,,,,,,,
