,1000.0000.2700.53000.900,,,Purchased Professional,,"$13,932.00",$0.00,"$13,932.00",,$0.00,$0.00,"$13,932.00",$0.00,"$13,932.00",100.00%
,1000.0000.2700.53300.900,,,Employee Training,,"$2,100.00",$0.00,,"$2,100.00",$0.00,$0.00,"$2,100.00",$0.00,"$2,100.00",100.00%
,1000.0000.2700.53400.900,,,Contracted Services,,"$7,700.00",$0.00,,"$7,700.00",$0.00,$0.00,"$7,700.00",$0.00,"$7,700.00",100.00%
,1000.0000.2700.54300.900,,,Purchased Repair/Maint,,"$180,200.00",$0.00,"$180,200.00",,$0.00,$0.00,"$180,200.00",$0.00,"$180,200.00",100.00%
,1000.0000.2700.54450.900,,,Bus Garage Lease,,"$13,000.00",$0.00,"$13,000.00",,$0.00,$0.00,"$13,000.00",$0.00,"$13,000.00",100.00%
,1000.0000.2700.55200.900,,,Insurance,,"$31,968.00",$0.00,"$31,968.00",,$0.00,$0.00,"$31,968.00",$0.00,"$31,968.00",100.00%
,1000.0000.2700.55320.900,,,Telephone,,"$3,000.00",$0.00,,"$3,000.00",$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.0000.2700.55800.900,,,Travel,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2700.56260.900,,,Fleet Fuel,,"$175,200.00",$0.00,"$175,200.00",,$0.00,$0.00,"$175,200.00",$0.00,"$175,200.00",100.00%
,1000.0000.2700.56700.900,,,Supplies,,"$80,530.00",$0.00,"$80,530.00",,$0.00,$0.00,"$80,530.00",$0.00,"$80,530.00",100.00%
,1000.0000.2700.58100.900,,,Dues and Fees,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2700.58310.900,,,Principal-Bus Lease,Purchase,"$228,649.00",$0.00,"$228,649.00",,$0.00,$0.00,"$228,649.00",$0.00,"$228,649.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$1,738,765.00",$0.00,"$1,738,765.00",,$0.00,$0.00,"$1,738,765.00","$688,459.79","$1,050,305.21",60.41%
,,,Function:,TRANSPORTATION,- 2700,"$1,738,765.00",$0.00,"$1,738,765.00",,$0.00,$0.00,"$1,738,765.00","$688,459.79","$1,050,305.21",60.41%
,1000.0000.2750.51020.900,,,Ed Tech Salaries,,"$18,760.00",$0.00,"$18,760.00",,$0.00,$0.00,"$18,760.00","$6,872.13","$11,887.87",63.37%
,1000.0000.2750.51180.900,,,Support Wages,,"$147,392.00",$0.00,"$147,392.00",,$0.00,$0.00,"$147,392.00","$50,392.12","$96,999.88",65.81%
,1000.0000.2750.52020.900,,,Ed Tech Benefits,,"$2,915.00",$0.00,,"$2,915.00",$0.00,$0.00,"$2,915.00",$0.00,"$2,915.00",100.00%
,1000.0000.2750.52080.900,,,Support Benefits,,"$22,905.00",$0.00,"$22,905.00",,$0.00,$0.00,"$22,905.00",$0.00,"$22,905.00",100.00%
,1000.0000.2750.52320.900,,,Retirement,,$839.00,$0.00,,$839.00,$0.00,$0.00,$839.00,$0.00,$839.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$192,811.00",$0.00,"$192,811.00",,$0.00,$0.00,"$192,811.00","$57,264.25","$135,546.75",70.30%
,,Function:,,TRANSPORTATION SPECIAL,ED - 2750,"$192,811.00",$0.00,"$192,811.00",,$0.00,$0.00,"$192,811.00","$57,264.25","$135,546.75",70.30%
,,,Cost,Center: SYSTEM,WIDE - 900,"$1,931,576.00",$0.00,"$1,931,576.00",,$0.00,$0.00,"$1,931,576.00","$745,724.04","$1,185,851.96",61.39%
Grand,Total:,,,,,"$1,931,576.00",$0.00,"$1,931,576.00",,$0.00,$0.00,"$1,931,576.00","$745,724.04","$1,185,851.96",61.39%
,,,,,,,End,of Report,,,,,,,
