,1000.9200.1000.52000.010,,EXTRA-CURR STIPEND,,,$631.00,$0.00,,$631.00,$0.00,$0.00,$631.00,$0.00,$631.00,100.00%
,,BENEFITS,,,,,,,,,,,,,
,1000.9200.1000.52300.010,,EXTRA-CURR STIPEND,,,"$1,669.00",$0.00,"$1,669.00",,$0.00,$0.00,"$1,669.00",$0.00,"$1,669.00",100.00%
,,,RETIREMENT,,,,,,,,,,,,
,Program:,,EXTRA-CURRICULAR,K-8 -,9200,"$39,630.00",$0.00,"$39,630.00",,$0.00,$0.00,"$39,630.00",$0.00,"$39,630.00",100.00%
,Function:,REGULAR,INSTRUCTION,-,1000,"$72,177.00",$0.00,"$72,177.00",,$95.83,$95.83,"$72,081.17",$0.00,"$72,081.17",99.87%
,Cost,Center: DURHAM,COMMUNITY,-,010,"$72,177.00",$0.00,"$72,177.00",,$95.83,$95.83,"$72,081.17",$0.00,"$72,081.17",99.87%
,1000.9100.1000.51500.020,Stipends,Paid,,,"$1,422.00",$0.00,"$1,422.00",,$0.00,$0.00,"$1,422.00",$0.00,"$1,422.00",100.00%
,1000.9100.1000.52000.020,Employee,Benefits,,,$24.00,$0.00,,$24.00,$0.00,$0.00,$24.00,$0.00,$24.00,100.00%
,1000.9100.1000.52300.020,Retirement,- Stipends,,,$64.00,$0.00,,$64.00,$0.00,$0.00,$64.00,$0.00,$64.00,100.00%
,,Program:,CO-CURRICULAR,K-8 -,9100,"$1,510.00",$0.00,"$1,510.00",,$0.00,$0.00,"$1,510.00",$0.00,"$1,510.00",100.00%
,Function:,REGULAR,INSTRUCTION,-,1000,"$1,510.00",$0.00,"$1,510.00",,$0.00,$0.00,"$1,510.00",$0.00,"$1,510.00",100.00%
,,Cost Center:,MORSE,STREET -,020,"$1,510.00",$0.00,"$1,510.00",,$0.00,$0.00,"$1,510.00",$0.00,"$1,510.00",100.00%
,1000.9100.1000.51500.030,Stipends,,,,"$5,688.00",$0.00,"$5,688.00",,$0.00,$0.00,"$5,688.00",$0.00,"$5,688.00",100.00%
,1000.9100.1000.52000.030,Stipend,Benefits,,,$96.00,$0.00,,$96.00,$0.00,$0.00,$96.00,$0.00,$96.00,100.00%
,1000.9100.1000.52300.030,MPERS,Employer,Contribution,,$254.00,$0.00,,$254.00,$0.00,$0.00,$254.00,$0.00,$254.00,100.00%
,,Program:,CO-CURRICULAR,K-8 -,9100,"$6,038.00",$0.00,"$6,038.00",,$0.00,$0.00,"$6,038.00",$0.00,"$6,038.00",100.00%
,1000.9200.1000.51500.030,,Extra-Curricular Stipends,- PES,,"$2,016.00",$0.00,"$2,016.00",,$0.00,$0.00,"$2,016.00",$0.00,"$2,016.00",100.00%
,1000.9200.1000.52000.030,,Extra-Curricular Stipends,Benefits,-,$34.00,$0.00,,$34.00,$0.00,$0.00,$34.00,$0.00,$34.00,100.00%
,,PES,,,,,,,,,,,,,
,1000.9200.1000.52300.030,,Extra-Curricular Stipends,,,$90.00,$0.00,,$90.00,$0.00,$0.00,$90.00,$0.00,$90.00,100.00%
,,Retirements,- PES,,,,,,,,,,,,
,Program:,,EXTRA-CURRICULAR,K-8 -,9200,"$2,140.00",$0.00,"$2,140.00",,$0.00,$0.00,"$2,140.00",$0.00,"$2,140.00",100.00%
,Function:,REGULAR,INSTRUCTION,-,1000,"$8,178.00",$0.00,"$8,178.00",,$0.00,$0.00,"$8,178.00",$0.00,"$8,178.00",100.00%
,Cost,Center: POWNAL,ELEMENTARY,-,030,"$8,178.00",$0.00,"$8,178.00",,$0.00,$0.00,"$8,178.00",$0.00,"$8,178.00",100.00%
,,,,,,,Page,19 of,44,,,,,,
