Cost,Center:,DURHAM,COMMUNITY,- 010,"$452,879.43","$419,654.99",,"$508,533.14",,"$549,996.80","$584,158.00","$34,161.20",6.21
,1000.0000.2600.51180.020,,Custodial,Salaries,"$158,467.97","$145,408.76",,"$130,654.96",,"$162,137.00","$181,527.00","$19,390.00",11.96
,1000.0000.2600.52080.020,,Custodian,Benefits,"$53,942.94","$41,594.42",,"$46,388.13",,"$76,536.00","$111,684.00","$35,148.00",45.92
,1000.0000.2600.52380.020,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,"$5,835.00","$5,835.00",0.00
,Page 71,of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2600.53300.020,,Employee,Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.020,,,Water/Sewage,"$19,010.94","$19,305.00",,"$27,400.03",,"$19,760.00","$28,000.00","$8,240.00",41.70
,1000.0000.2600.54300.020,,,Purchased Repairs/Maint,"$32,206.31","$41,172.79",,"$24,125.60",,"$45,040.32","$47,000.00","$1,959.68",4.35
,1000.0000.2600.55200.020,,Insurance,,"$12,237.61","$12,877.54",,"$15,192.75",,"$17,307.42","$22,746.00","$5,438.58",31.42
,1000.0000.2600.55320.020,,,Telephone,"$2,490.97","$2,542.91",,,"$2,895.16","$3,400.00","$3,400.00",$0.00,0.00
,1000.0000.2600.55800.020,,Travel,,$0.00,,$23.39,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.020,,Supplies,,"$13,067.22","$14,382.35",,"$18,568.32",,"$20,000.00","$20,000.00",$0.00,0.00
,1000.0000.2600.56011.020,,Materials,for Repair,"$2,673.73","$4,016.92",,,"$2,547.97","$4,050.00","$4,050.00",$0.00,0.00
,1000.0000.2600.56013.020,,Major,Maintenance,"$15,704.74","$3,641.41",,"$11,307.06",,"$6,000.00","$6,000.00",$0.00,0.00
,1000.0000.2600.56050.020,,Furniture,& Equipment - Non,Instructional MSS$0.00,,$0.00,,"$4,899.25",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.020,,Electricity,,"$24,508.45","$24,334.59",,"$32,540.40",,"$25,973.00","$18,000.00","($7,973.00)",(30.70)
,1000.0000.2600.56240.020,,Heating,Fuel,"$25,911.84","$40,436.17",,"$38,548.67",,"$41,000.00","$41,053.00",$53.00,0.13
Program:,OVERHEAD,- 0000,,,"$360,222.72","$349,736.25",,"$355,068.30",,"$421,328.74","$489,420.00","$68,091.26",16.16
Function:,OPERATION,OF,PLANT -,2600,"$360,222.72","$349,736.25",,"$355,068.30",,"$421,328.74","$489,420.00","$68,091.26",16.16
Cost,Center:,MORSE STREET,- 020,,"$360,222.72","$349,736.25",,"$355,068.30",,"$421,328.74","$489,420.00","$68,091.26",16.16
,1000.0000.2600.51180.030,,Custodial,Salaries,"$84,510.07","$80,213.38",,"$51,594.31",,"$79,631.00","$83,977.00","$4,346.00",5.46
,1000.0000.2600.52080.030,,,Custodian Benefits,"$33,107.12","$18,011.55",,,"$8,327.25","$39,522.00","$29,653.00","($9,869.00)",(24.97)
,1000.0000.2600.54300.030,,,Purchased Repairs/Maint,"$32,748.88","$29,897.92",,"$32,533.93",,"$35,991.00","$37,591.00","$1,600.00",4.45
,1000.0000.2600.55200.030,,Insurance,,"$7,787.57","$8,194.96",,,"$9,115.65","$11,014.02","$22,746.00","$11,731.98",106.52
,1000.0000.2600.55320.030,,,Telephone,"$2,733.13","$1,796.47",,,"$1,910.92","$4,988.00","$2,200.00","($2,788.00)",(55.89)
,1000.0000.2600.55800.030,,Travel,,$0.00,,$86.95,,$0.00,$0.00,$0.00,$0.00,0.00
,Page 72,of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2600.56000.030,,Supplies,,"$9,494.54","$13,931.50",,"$11,255.83",,"$12,500.00","$12,500.00",$0.00,0.00
,1000.0000.2600.56011.030,,Materials,for Repair,"$2,622.64","$2,448.17",,,"$2,794.73","$4,250.00","$5,000.00",$750.00,17.65
,1000.0000.2600.56013.030,,Major,Maintenance,"$6,652.89","$2,581.96",,,"$6,142.86","$9,500.00","$10,600.00","$1,100.00",11.58
,1000.0000.2600.56050.030,,Furniture,& Equipment - Non,Instructional PES$0.00,,$0.00,,"$3,603.35","$4,865.29",$0.00,"($4,865.29)",(100.00)
,1000.0000.2600.56220.030,,Electricity,,"$14,119.98","$14,523.06",,"$18,570.10",,"$13,123.00","$10,000.00","($3,123.00)",(23.80)
,1000.0000.2600.56240.030,,Heating,Fuel,"$16,786.16","$19,264.92",,"$22,909.17",,"$28,000.00","$28,000.00",$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$210,562.98","$190,950.84",,"$168,758.10",,"$243,384.31","$242,267.00","($1,117.31)",(0.46)
Function:,OPERATION,OF,PLANT -,2600,"$210,562.98","$190,950.84",,"$168,758.10",,"$243,384.31","$242,267.00","($1,117.31)",(0.46)
Cost,Center:,POWNAL,ELEMENTARY,- 030,"$210,562.98","$190,950.84",,"$168,758.10",,"$243,384.31","$242,267.00","($1,117.31)",(0.46)
,1000.0000.2600.51180.040,,Custodian,Salaries,"$104,823.50","$78,562.84",,"$148,104.21",,"$153,326.00","$169,946.00","$16,620.00",10.84
,1000.0000.2600.52080.040,,Custodian,Benefits,"$60,710.99","$39,517.35",,"$64,160.48",,"$77,480.00","$112,553.00","$35,073.00",45.27
,1000.0000.2600.52380.040,,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$6,385.00","$6,385.00",0.00
,1000.0000.2600.53300.040,,Employee,Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.040,,,Water/Sewage,"$7,928.66","$6,983.41",,,"$8,360.29","$8,000.00","$8,500.00",$500.00,6.25
,1000.0000.2600.54300.040,,,Purchased Repairs/Maint,"$37,417.38","$40,174.61",,"$36,690.89",,"$46,743.08","$48,663.00","$1,919.92",4.11
,1000.0000.2600.55200.040,,Insurance,,"$12,237.61","$12,877.54",,"$15,192.75",,"$17,307.42","$22,746.00","$5,438.58",31.42
,1000.0000.2600.55320.040,,,Telephone,"$1,962.08","$2,236.20",,,"$2,403.57","$2,400.00","$2,800.00",$400.00,16.67
,1000.0000.2600.55800.040,,Travel,,$0.00,,$23.39,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.040,,Supplies,,"$12,813.10","$8,507.06",,"$14,900.90",,"$19,500.00","$20,600.00","$1,100.00",5.64
,1000.0000.2600.56011.040,,Material,Repair,"$3,181.87","$1,859.19",,,"$1,528.62","$4,500.00","$4,500.00",$0.00,0.00
,1000.0000.2600.56013.040,,Major,Maintenance,"$21,630.55","$3,500.00",,,"$6,555.00","$5,000.00","$5,000.00",$0.00,0.00
,Page 73,of 80,,,,,,,,,,,
