,,,,,,RSU,No.,5,,,,,,
,1000.0000.2600.52080.300,Custodian,Benefits,,"$84,238.00",$0.00,"$84,238.00",,"$1,139.30","$1,139.30","$83,098.70",$0.00,"$83,098.70",98.65%
,1000.0000.2600.52380.300,Retirement,,,"$10,794.00",$0.00,"$10,794.00",,$0.00,$0.00,"$10,794.00",$0.00,"$10,794.00",100.00%
,1000.0000.2600.53300.300,Employee,Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
,1000.0000.2600.54100.300,,Water/Sewage,,"$29,829.00",$0.00,"$29,829.00",,$90.52,$90.52,"$29,738.48",$0.00,"$29,738.48",99.70%
,1000.0000.2600.54300.300,Purchased,Repair,,"$85,513.00",$0.00,"$85,513.00",,$805.45,$805.45,"$84,707.55","$11,078.92","$73,628.63",86.10%
,1000.0000.2600.55200.300,Insurance,,,"$21,712.00",$0.00,"$21,712.00",,"$21,796.00","$21,796.00",($84.00),$0.00,($84.00),-0.39%
,1000.0000.2600.55320.300,Telephone,,,"$10,373.00",$0.00,"$10,373.00",,$0.00,$0.00,"$10,373.00",$0.00,"$10,373.00",100.00%
,1000.0000.2600.56000.300,Supplies,,,"$41,500.00",$0.00,"$41,500.00",,$0.00,$0.00,"$41,500.00","$1,677.33","$39,822.67",95.96%
,1000.0000.2600.56011.300,Materials,for Repair,,"$6,800.00",$0.00,"$6,800.00",,$0.00,$0.00,"$6,800.00",$47.75,"$6,752.25",99.30%
,1000.0000.2600.56220.300,Electricity,,,"$46,390.00",$0.00,"$46,390.00",,$0.00,$0.00,"$46,390.00",$0.00,"$46,390.00",100.00%
,1000.0000.2600.56240.300,Heating,Fuel,,"$96,000.00",$0.00,"$96,000.00",,$0.00,$0.00,"$96,000.00",$0.00,"$96,000.00",100.00%
,,Program:,OVERHEAD,- 0000,"$649,160.00",$0.00,"$649,160.00",,"$27,179.13","$27,179.13","$621,980.87","$148,377.20","$473,603.67",72.96%
,,Function: OPERATION,OF,PLANT - 2600,"$649,160.00",$0.00,"$649,160.00",,"$27,179.13","$27,179.13","$621,980.87","$148,377.20","$473,603.67",72.96%
,1000.0000.2680.58310.300,,Principal-High School,Renovation,"$680,000.00",$0.00,"$680,000.00",,$0.00,$0.00,"$680,000.00",$0.00,"$680,000.00",100.00%
,1000.0000.2680.58320.300,,Interest-High School,Renovation,"$255,000.00",$0.00,"$255,000.00",,$0.00,$0.00,"$255,000.00",$0.00,"$255,000.00",100.00%
,,Program:,OVERHEAD,- 0000,"$935,000.00",$0.00,"$935,000.00",,$0.00,$0.00,"$935,000.00",$0.00,"$935,000.00",100.00%
Function:,CAPITAL,ENHANCEMENT &,IMPROVEMENT,- 2680,"$935,000.00",$0.00,"$935,000.00",,$0.00,$0.00,"$935,000.00",$0.00,"$935,000.00",100.00%
,Cost Center:,FREEPORT,HIGH,SCHOOL - 300,"$1,584,160.00",$0.00,"$1,584,160.00",,"$27,179.13","$27,179.13","$1,556,980.87","$148,377.20","$1,408,603.67",88.92%
,1000.0000.2620.51040.900,,Administrator Salary,,"$93,600.00",$0.00,"$93,600.00",,"$3,634.62","$3,634.62","$89,965.38","$90,865.38",($900.00),-0.96%
,,,,,,Page,41 of,44,,,,,,
