1000.0000.2400.51040.040,,Admin,Salaries,"$103,443.90","$110,948.89",,"$108,332.18",,"$115,408.00","$117,628.00",,"$2,220.00",1.92
1000.0000.2400.51040.050,,Admin,Salaries,"$187,602.00","$201,025.11",,"$196,822.52",,"$208,416.00","$208,800.00",,$384.00,0.18
1000.0000.2400.51040.300,,Admin,Salaries,"$212,137.98","$229,411.83",,"$225,067.52",,"$238,347.00","$239,136.00",,$789.00,0.33
1000.0000.2400.51180.010,,Support,Wages,"$70,847.07","$79,948.21",,"$83,712.52",,"$81,013.00","$82,032.00",,"$1,019.00",1.26
1000.0000.2400.51180.020,,Support,Wages,"$42,914.92","$56,965.58",,"$51,070.34",,"$57,783.00","$51,961.00",,"($5,822.00)",(10.08)
1000.0000.2400.51180.030,,Support,Wages,"$34,566.08","$37,425.53",,"$42,917.55",,"$37,149.00","$35,686.00",,"($1,463.00)",(3.94)
1000.0000.2400.51180.040,,Support,Wages,"$44,824.24","$49,988.67",,"$47,047.36",,"$46,634.00","$47,563.00",,$929.00,1.99
1000.0000.2400.51180.050,,Support,Wages,"$63,820.50","$85,005.23",,"$76,805.11",,"$87,841.00","$73,487.00",,"($14,354.00)",(16.34)
1000.0000.2400.51180.300,,Support,Wages,"$98,815.16","$113,072.35",,"$115,475.39",,"$93,747.00","$105,399.00",,"$11,652.00",12.43
1000.0000.2400.52040.010,,Admin,Benefits,"$51,003.43","$46,526.14",,"$49,286.08",,"$59,256.00","$64,477.00",,"$5,221.00",8.81
1000.0000.2400.52040.020,,Admin,Benefits,"$8,420.61","$5,725.00",,,"$7,065.47","$12,266.00","$42,363.00",,"$30,097.00",245.37
1000.0000.2400.52040.030,,Admin,Benefits,"$14,045.69","$9,921.64",,"$11,289.80",,"$29,524.00","$28,251.00",,"($1,273.00)",(4.31)
1000.0000.2400.52040.040,,Admin,Benefits,"$24,953.59","$22,775.77",,"$24,797.81",,"$28,039.00","$32,414.00",,"$4,375.00",15.60
1000.0000.2400.52040.050,,Admin,Benefits,"$29,709.84","$33,758.93",,"$40,722.68",,"$51,997.00","$54,875.00",,"$2,878.00",5.53
1000.0000.2400.52040.300,,Admin,Benefits,"$48,868.89","$46,547.83",,"$48,897.96",,"$56,798.00","$65,073.00",,"$8,275.00",14.57
1000.0000.2400.52080.010,,Support,Benefits,"$16,166.35","$16,319.87",,"$22,953.12",,"$38,103.00","$37,655.00",,($448.00),(1.18)
1000.0000.2400.52080.020,,Support,Benefits,"$9,504.11","$5,520.61",,"$12,081.62",,"$18,827.00","$17,564.00",,"($1,263.00)",(6.71)
1000.0000.2400.52080.030,,Support,Benefits,"$6,685.53","$4,967.33",,,"$3,914.33","$6,938.00","$9,039.00",,"$2,101.00",30.28
1000.0000.2400.52080.040,,Support,Benefits,"$14,975.81","$9,607.65",,"$15,101.72",,"$24,065.00","$16,880.00",,"($7,185.00)",(29.86)
1000.0000.2400.52080.050,,Support,Benefits,"$34,235.24","$13,186.95",,"$23,337.59",,"$61,418.00","$39,280.00",,"($22,138.00)",(36.04)
1000.0000.2400.52080.300,,Support,Benefits,"$42,942.81","$15,000.75",,"$45,522.80",,"$50,398.00","$58,195.00",,"$7,797.00",15.47
,03/22/2023,,,,,,,,,,,Page 42,
