,1000.0000.2690.54500.900,,Capital,Renewal/Tennis Courts,Replacement$0.00,,$0.00,"$60,000.00",,"$40,000.00","$40,000.00",$0.00,0.00
,1000.0000.2690.58310.900,,Capital,Improvements,"$350,314.73","$399,802.00",,"$442,330.00",,"$400,000.00","$400,000.00",$0.00,0.00
Program:,,OVERHEAD -,0000,,"$420,314.73","$434,802.00",,"$572,330.00",,"$475,000.00","$475,000.00",$0.00,0.00
Function:,CAPITAL,RENEWAL,& RENOVATION,- 2690,"$420,314.73","$434,802.00",,"$572,330.00",,"$475,000.00","$475,000.00",$0.00,0.00
,Page,77 of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
Cost,Center:,SYSTEM WIDE,- 900,,"$977,953.63","$1,001,100.55",,"$1,130,219.85",,"$1,058,164.00","$1,206,782.00","$148,618.00",14.04
,1000.0000.2600.51180.941,,Support,Salary,$0.00,,$0.00,,$0.00,$0.00,"$7,110.00","$7,110.00",0.00
,1000.0000.2600.52080.941,,Support,Benefits,$0.00,,$0.00,,$0.00,$0.00,$450.00,$450.00,0.00
,1000.0000.2600.52380.941,,,Custodian Retirement,$0.00,,$0.00,,$0.00,$0.00,$380.00,$380.00,0.00
,1000.0000.2600.54100.941,,,Water/Sewage,"$1,082.60","$1,071.15",,,$956.36,"$2,004.00","$1,500.00",($504.00),(25.15)
,1000.0000.2600.54300.941,,Purchaed,Repairs,$0.00,"$1,603.84",,,"$1,032.15","$1,500.00","$1,500.00",$0.00,0.00
,1000.0000.2600.55320.941,,,Telephone,"$5,723.18","$4,601.41",,,"$5,300.24","$6,800.00","$6,000.00",($800.00),(11.76)
,1000.0000.2600.56000.941,,Supplies,,$0.00,,$157.12,,"$1,080.78","$1,500.00","$1,500.00",$0.00,0.00
,1000.0000.2600.56011.941,,Materials,for Repair,"$7,254.27",,$641.60,,$729.89,"$3,000.00","$3,000.00",$0.00,0.00
,1000.0000.2600.56013.941,,Major,Maintenance,$0.00,"$8,561.00",,,"$5,418.00","$5,000.00","$5,000.00",$0.00,0.00
,1000.0000.2600.56220.941,,Electricity,,"$2,652.57","$2,775.08",,,"$3,527.14","$3,000.00","$3,000.00",$0.00,0.00
,1000.0000.2600.56240.941,,Heating,Fuel,"$3,064.69","$3,216.72",,,"$4,369.77","$5,000.00","$5,900.00",$900.00,18.00
Program:,OVERHEAD,- 0000,,,"$19,777.31","$22,627.92",,"$22,414.33",,"$27,804.00","$35,340.00","$7,536.00",27.10
Function:,,OPERATION OF,PLANT -,2600,"$19,777.31","$22,627.92",,"$22,414.33",,"$27,804.00","$35,340.00","$7,536.00",27.10
Cost,Center:,CENTRAL OFFICE,- 941,,"$19,777.31","$22,627.92",,"$22,414.33",,"$27,804.00","$35,340.00","$7,536.00",27.10
Grand,Total:,,,,"$4,837,273.80","$4,592,031.35",,"$4,846,859.53",,"$5,100,233.00","$5,219,819.00","$119,586.00",2.34
,,,,,,End,of Report,,,,,,
,Page 78,of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
,Article 10,Debt,Service-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.5100.58310.900,,,Principal Payments-State,"Supported$ D1e,1b3t9,733.73","$1,139,733.82",,"$995,302.00",,"$995,302.00","$995,302.00",$0.00,0.00
,1000.0000.5100.58320.900,,Interest,Payments-State Supported,"De$b4t42,022.08","$287,512.44",,"$213,647.22",,"$186,301.00","$144,093.00","($42,208.00)",(22.66)
,Program:,OVERHEAD - 0000,,,"$1,581,755.81","$1,427,246.26",,"$1,208,949.22",,"$1,181,603.00","$1,139,395.00","($42,208.00)",(3.57)
,Function: STATE,SUPPORTED,DEBT,SERVICE - 5100,"$1,581,755.81","$1,427,246.26",,"$1,208,949.22",,"$1,181,603.00","$1,139,395.00","($42,208.00)",(3.57)
Cost,Center:,SYSTEM WIDE,- 900,,"$1,581,755.81","$1,427,246.26",,"$1,208,949.22",,"$1,181,603.00","$1,139,395.00","($42,208.00)",(3.57)
Grand,Total:,,,,"$1,581,755.81","$1,427,246.26",,"$1,208,949.22",,"$1,181,603.00","$1,139,395.00","($42,208.00)",(3.57)
,,,,,,End,of Report,,,,,,
,Page,79 of 80,,,,,,,,,,,
,,,,,,RSU,No.,5,,,,,
,Article 11,All,Other,Expenditures- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.3100.59100.900,,,Fund Transfer Out,"$310,225.68","$73,311.24",,,$0.00,"$293,245.00","$293,245.00",$0.00,0.00
,Program:,OVERHEAD,- 0000,,"$310,225.68","$73,311.24",,,$0.00,"$293,245.00","$293,245.00",$0.00,0.00
,Function:,FOOD,SERVICES,OPERATIONS - 3100,"$310,225.68","$73,311.24",,,$0.00,"$293,245.00","$293,245.00",$0.00,0.00
Cost,Center:,SYSTEM,WIDE,- 900,"$310,225.68","$73,311.24",,,$0.00,"$293,245.00","$293,245.00",$0.00,0.00
Grand,Total:,,,,"$310,225.68","$73,311.24",,,$0.00,"$293,245.00","$293,245.00",$0.00,0.00
,,,,,,End,of Report,,,,,,
,Page,80 of,80,,,,,,,,,,
