,,,,,,,RSU,No.,5,,,,,,
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$30,042.00",$0.00,"$30,042.00",,$0.00,$0.00,"$30,042.00","$21,159.86","$8,882.14",29.57%
,,,,Function: OT,- 2160,"$30,042.00",$0.00,"$30,042.00",,$0.00,$0.00,"$30,042.00","$21,159.86","$8,882.14",29.57%
,,Cost,Center: POWNAL,ELEMENTARY,- 030,"$171,700.00",$0.00,"$171,700.00",,$0.00,$0.00,"$171,700.00","$101,555.53","$70,144.47",40.85%
,1000.2200.1000.51010.040,,Teacher,Salaries,,"$179,853.00",$0.00,"$179,853.00",,$0.00,$0.00,"$179,853.00","$84,853.47","$94,999.53",52.82%
,1000.2200.1000.51020.040,,Ed Tech,Salaries,,"$84,277.00",$0.00,"$84,277.00",,$0.00,$0.00,"$84,277.00","$57,425.96","$26,851.04",31.86%
,1000.2200.1000.52010.040,,Teacher,Benefits,,"$31,854.00",$0.00,"$31,854.00",,$0.00,$0.00,"$31,854.00",$0.00,"$31,854.00",100.00%
,1000.2200.1000.52020.040,,Ed Tech,Benefits,,"$30,448.00",$0.00,"$30,448.00",,$0.00,$0.00,"$30,448.00",$0.00,"$30,448.00",100.00%
,1000.2200.1000.52310.040,,Retirement,,,"$4,058.00",$0.00,"$4,058.00",,$0.00,$0.00,"$4,058.00",$0.00,"$4,058.00",100.00%
,1000.2200.1000.52320.040,,Retirement,,,"$3,767.00",$0.00,"$3,767.00",,$0.00,$0.00,"$3,767.00",$0.00,"$3,767.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$334,257.00",$0.00,"$334,257.00",,$0.00,$0.00,"$334,257.00","$142,279.43","$191,977.57",57.43%
,1000.2300.1000.51010.040,,Teacher,Salaries,,"$132,694.00",$0.00,"$132,694.00",,$0.00,$0.00,"$132,694.00","$132,694.09",($0.09),0.00%
,1000.2300.1000.51020.040,,Ed Tech,Salaries,,"$31,372.00",$0.00,"$31,372.00",,$0.00,$0.00,"$31,372.00","$30,642.30",$729.70,2.33%
,1000.2300.1000.52010.040,,Teacher,Benefits,,"$42,577.00",$0.00,"$42,577.00",,$0.00,$0.00,"$42,577.00",$0.00,"$42,577.00",100.00%
,,,,,,,Page,11 of,44,,,,,,
