,1000.4900.1000.52300.950,,Retirement,,$247.28,,$361.72,$372.99,$598.00,$598.00,,$0.00,0.00
,1000.4900.1000.52310.950,,Retirement,,"$7,627.26",,"$9,461.70","$9,457.97","$10,921.00","$7,983.00","($2,938.00)",,(26.90)
,1000.4900.1000.53000.950,,Purchased,Professional,"$2,238.52",,$0.00,$87.00,"$4,038.00","$4,038.00",,$0.00,0.00
,,,Services,,,,,,,,,,
,,,,,Page,13 of 89,,,,,,,
,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.4900.1000.53400.950,,,Professional Services,$0.00,,"$1,272.95","$1,539.31","$2,014.00","$8,489.00",,"$6,475.00",321.50
,,,Testing,,,,,,,,,,
,1000.4900.1000.53440.950,,GaTE,K-8 Professional,$0.00,,$70.00,$984.00,"$2,629.00","$2,579.00",,($50.00),(1.90)
,,,Servies,,,,,,,,,,
,1000.4900.1000.55800.950,,Travel,,$123.78,,$298.44,$128.24,$920.00,"$1,000.00",,$80.00,8.70
,1000.4900.1000.56100.950,,GaTE,K-8 Instructional,"$2,127.90",,"$1,815.66","$1,243.18","$1,145.00","$1,845.00",,$700.00,61.14
,,,Supplies,,,,,,,,,,
,1000.4900.1000.56400.950,,GaTE,K-8 Books,$407.10,,"$1,206.93",$881.34,"$1,200.00","$1,200.00",,$0.00,0.00
,1000.4900.1000.58100.950,,Dues,and Fees,"$1,394.00",,"$2,273.23","$2,302.60","$4,955.00","$4,955.00",,$0.00,0.00
,Program: GIFTED,& TALENTED -,4900,,"$259,796.85","$277,260.62",,"$287,630.09","$343,770.00","$260,635.00","($83,135.00)",,(24.18)
,Function: REGULAR,INSTRUCTION,- 1000,,"$299,364.25","$420,392.86",,"$506,404.71","$555,339.00","$420,852.00","($134,487.00)",,(24.22)
Cost,Center: K-8,- 950,,,"$299,364.25","$420,392.86",,"$506,404.71","$555,339.00","$420,852.00","($134,487.00)",,(24.22)
,1000.4100.1000.51010.990,,Teacher,Salaries,"$174,712.45","$152,830.28",,"$87,297.91","$92,936.00","$99,209.00",,"$6,273.00",6.75
,1000.4100.1000.52010.990,,Teacher,Benefits,"$25,422.51","$14,977.90",,"$27,244.69","$20,861.00","$22,388.00",,"$1,527.00",7.32
,1000.4100.1000.52310.990,,,Retirement,"$6,696.71",,"$6,804.94","$3,881.26","$4,154.00","$4,435.00",,$281.00,6.76
,1000.4100.1000.53000.990,,,Purchased Professional,$0.00,,"$4,686.75",$0.00,"$3,150.00","$16,803.00","$13,653.00",,433.43
,,,Services,,,,,,,,,,
,1000.4100.1000.55800.990,,,Travel-Other,$0.00,,$0.00,$0.00,$100.00,$100.00,,$0.00,0.00
,1000.4100.1000.56100.990,,,Instructional Supplies,$304.99,,$0.00,$0.00,$250.00,$525.00,,$275.00,110.00
,Program: ELL -,4100,,,"$207,136.66","$179,299.87",,"$118,423.86","$121,451.00","$143,460.00","$22,009.00",,18.12
,1000.4900.1000.51010.990,,Teacher,Salaries,"$11,203.93","$11,742.39",,"$12,662.00","$13,587.00","$96,727.00","$83,140.00",,611.91
,,,,,Page,14 of 89,,,,,,,
,,,,,RSU,No. 5,,,,,,,
,FY27 Article,1 Regular,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.4900.1000.51500.990,,Stipends,,$0.00,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.4900.1000.52000.990,,Stipends,,$0.00,,$0.00,$0.00,$10.00,$10.00,,$0.00,0.00
,1000.4900.1000.52010.990,,Teacher,Benefits,"$2,805.35","$2,895.58",,"$3,735.08","$4,693.00","$30,674.00","$25,981.00",,553.61
,1000.4900.1000.52300.990,,,Retirement,$0.00,,$0.00,$0.00,$13.00,$13.00,,$0.00,0.00
,1000.4900.1000.52310.990,,,Retirement,$430.30,,$524.94,$563.86,$607.00,"$4,324.00",,"$3,717.00",612.36
,1000.4900.1000.53000.990,,Purchase,Professional,$442.25,,$0.00,$38.00,$38.00,$38.00,,$0.00,0.00
,,,Services,,,,,,,,,,
,1000.4900.1000.53440.990,,GaTE,HS Professional,"$2,242.14",,$0.00,"$4,667.52","$11,190.00","$11,190.00",,$0.00,0.00
,,,Services,,,,,,,,,,
,1000.4900.1000.56100.990,,GaTE,HS Instructional,$0.00,,$0.00,$0.00,$105.00,$350.00,,$245.00,233.33
,,,Supplies,,,,,,,,,,
,1000.4900.1000.58100.990,,GaTE,Dues & Fees - Sec,$0.00,,$0.00,$0.00,$250.00,$250.00,,$0.00,0.00
,Program: GIFTED,& TALENTED -,4900,,"$17,123.97","$15,162.91",,"$21,666.46","$30,793.00","$143,876.00","$113,083.00",,367.24
,Function:,REGULAR INSTRUCTION,- 1000,,"$224,260.63","$194,462.78",,"$140,090.32","$152,244.00","$287,336.00","$135,092.00",,88.73
Cost,Center:,9-12 - 990,,,"$224,260.63","$194,462.78",,"$140,090.32","$152,244.00","$287,336.00","$135,092.00",,88.73
Grand,Total:,,,,"$15,360,163.06","$16,552,374.10",,"$18,088,244.43","$19,356,261.00","$19,873,193.00","$516,932.00",,2.67
,,,,,End of,Report,,,,,,,
,,,,,Page 15,of 89,,,,,,,
