,,,,,,RSU,No. 5,,,,,,
,1000.1100.1000.51230.020,Substitute,Wages,,"$33,450.00",$0.00,"$33,450.00",$0.00,$0.00,"$33,450.00",$0.00,"$33,450.00",100.00%
,1000.1100.1000.52010.020,Teacher,Benefits,,"$385,838.00",$0.00,"$385,838.00",$0.00,$0.00,"$385,838.00",$0.00,"$385,838.00",100.00%
,1000.1100.1000.52020.020,Ed Tech,Benefits,,"$61,575.00",$0.00,"$61,575.00",$0.00,$0.00,"$61,575.00",$0.00,"$61,575.00",100.00%
,1000.1100.1000.52030.020,Substitute,Benefits,,"$2,559.00",$0.00,"$2,559.00",$0.00,$0.00,"$2,559.00",$0.00,"$2,559.00",100.00%
,1000.1100.1000.52310.020,Retirement,,,"$55,354.00",$0.00,"$55,354.00",$0.00,$0.00,"$55,354.00",$0.00,"$55,354.00",100.00%
,1000.1100.1000.52320.020,Retirement,,,"$5,669.00",$0.00,"$5,669.00",$0.00,$0.00,"$5,669.00",$0.00,"$5,669.00",100.00%
,1000.1100.1000.53400.020,Professional,Servics,,"$8,160.00",$0.00,"$8,160.00",$0.00,$0.00,"$8,160.00",$0.00,"$8,160.00",100.00%
,1000.1100.1000.54300.020,,Copiers-Equipment Maint,,"$13,000.00",$0.00,"$13,000.00","$11,878.61","$11,878.61","$1,121.39",$0.00,"$1,121.39",8.63%
,1000.1100.1000.54330.020,Software,,,"$4,050.00",$0.00,"$4,050.00",$0.00,$0.00,"$4,050.00","$2,620.00","$1,430.00",35.31%
,1000.1100.1000.55800.020,Travel,,,$540.00,$0.00,$540.00,$0.00,$0.00,$540.00,$0.00,$540.00,100.00%
,1000.1100.1000.56100.020,Instructional,Supplies,,"$47,245.00",$0.00,"$47,245.00",$0.00,$0.00,"$47,245.00",$201.17,"$47,043.83",99.57%
,1000.1100.1000.56400.020,BOOKS,,,"$9,200.00",$0.00,"$9,200.00",$0.00,$0.00,"$9,200.00",$0.00,"$9,200.00",100.00%
,Program:,ELEMENTARY,PROGRAMS,- 1100,"$1,886,299.00",$0.00,"$1,886,299.00","$11,878.61","$11,878.61","$1,874,420.39","$1,176,019.77","$698,400.62",37.02%
,1000.1120.1000.51010.020,Salaries,,,"$269,118.00",$0.00,"$269,118.00",$0.00,$0.00,"$269,118.00","$143,472.77","$125,645.23",46.69%
,1000.1120.1000.51020.020,Ed Tech,Salaries,,"$59,217.00",$0.00,"$59,217.00",$0.00,$0.00,"$59,217.00","$58,962.80",$254.20,0.43%
,1000.1120.1000.52010.020,Benefits,,,"$102,837.00",$0.00,"$102,837.00",$0.00,$0.00,"$102,837.00",$0.00,"$102,837.00",100.00%
,1000.1120.1000.52020.020,Ed Tech,Benefit,,"$11,927.00",$0.00,"$11,927.00",$0.00,$0.00,"$11,927.00","$3,500.00","$8,427.00",70.65%
,1000.1120.1000.52310.020,Retirement,,,"$13,258.00",$0.00,"$13,258.00",$0.00,$0.00,"$13,258.00",$0.00,"$13,258.00",100.00%
,1000.1120.1000.52320.020,Retirement,,,"$2,647.00",$0.00,"$2,647.00",$0.00,$0.00,"$2,647.00",$0.00,"$2,647.00",100.00%
,,Program: K-2,INSTRUCTION,- 1120,"$459,004.00",$0.00,"$459,004.00",$0.00,$0.00,"$459,004.00","$205,935.57","$253,068.43",55.13%
,Function:,REGULAR,INSTRUCTION,- 1000,"$2,345,303.00",$0.00,"$2,345,303.00","$11,878.61","$11,878.61","$2,333,424.39","$1,381,955.34","$951,469.05",40.57%
,,Cost Center:,MORSE STREET,- 020,"$2,345,303.00",$0.00,"$2,345,303.00","$11,878.61","$11,878.61","$2,333,424.39","$1,381,955.34","$951,469.05",40.57%
,1000.1100.1000.51010.030,Teacher,Salaries,,"$585,554.00",$0.00,"$585,554.00",$0.00,$0.00,"$585,554.00","$590,184.13","($4,630.13)",-0.79%
,1000.1100.1000.51020.030,Ed Tech,Salaries,,"$47,635.00",$0.00,"$47,635.00",$0.00,$0.00,"$47,635.00","$69,930.74","($22,295.74)",-46.81%
,1000.1100.1000.51230.030,Sub Salaries,,,"$33,450.00",$0.00,"$33,450.00",$0.00,$0.00,"$33,450.00",$0.00,"$33,450.00",100.00%
,1000.1100.1000.52010.030,Teacher,Benefits,,"$173,548.00",$0.00,"$173,548.00",$0.00,$0.00,"$173,548.00",$0.00,"$173,548.00",100.00%
,1000.1100.1000.52020.030,Ed Tech,Benefits,,"$9,028.00",$0.00,"$9,028.00",$0.00,$0.00,"$9,028.00",$0.00,"$9,028.00",100.00%
,1000.1100.1000.52030.030,Sub Benefits,,,"$2,559.00",$0.00,"$2,559.00",$0.00,$0.00,"$2,559.00",$0.00,"$2,559.00",100.00%
,1000.1100.1000.52310.030,Retirement,,,"$28,691.00",$0.00,"$28,691.00",$0.00,$0.00,"$28,691.00",$0.00,"$28,691.00",100.00%
,1000.1100.1000.52320.030,Retirement,,,"$2,129.00",$0.00,"$2,129.00",$0.00,$0.00,"$2,129.00",$0.00,"$2,129.00",100.00%
,1000.1100.1000.52330.030,Retirement,,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
,1000.1100.1000.53400.030,Professional,Services,,"$13,304.00",$0.00,"$13,304.00",$0.00,$0.00,"$13,304.00",$0.00,"$13,304.00",100.00%
,,,,,,Page 3,of 44,,,,,,
