,1000.0000.2213.52000.010,,Stipend,Benefits - DCS,$0.00,,$0.00,,$528.39,$0.00,$0.00,$0.00,0.00
,1000.0000.2213.52300.010,,Stipend,Retirement - DCS,$0.00,,$0.00,,"$1,171.71",$0.00,$0.00,$0.00,0.00
,1000.0000.2213.53300.010,,Professional,Services,$0.00,,$0.00,,$140.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,$0.00,,$0.00,"$31,375.10",,"$19,586.00","$27,177.00","$7,591.00",38.76
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,$0.00,,$0.00,"$31,375.10",,"$19,586.00","$27,177.00","$7,591.00",38.76
,1000.0000.2220.51010.010,,Librarian,Salary,"$66,475.02","$72,481.15",,"$72,492.56",,"$75,483.00","$80,735.00","$5,252.00",6.96
,1000.0000.2220.51020.010,,Ed Tech,Salaries,$0.00,"$5,649.06",,"$15,945.51",,"$14,392.00","$18,034.00","$3,642.00",25.31
,1000.0000.2220.52010.010,,Librarian,Benefits,"$21,005.67","$4,871.91",,"$21,325.03",,"$23,958.00","$23,470.00",($488.00),(2.04)
,1000.0000.2220.52020.010,,Ed Tech,Salaries,$0.00,"$2,023.45",,,"$6,006.33","$6,184.00","$10,963.00","$4,779.00",77.28
,Page 41,of 80,,,,,,,,,,,
