,1000.2300.1000.52320.300,,Retirement,,,$923.72,"$2,108.39",,,"$1,513.90","$2,350.00","$6,519.00","$4,169.00",177.40
Program:,SELF,CONTAINED,CLASS,PLACEMENT -,2300,"$297,349.65","$308,397.22",,"$260,802.13",,"$256,431.00","$376,184.00","$119,753.00",46.70
Function:,REGULAR,INSTRUCTION,- 1000,,,"$532,814.98","$553,168.24",,"$519,836.82",,"$633,671.00","$701,932.00","$68,261.00",10.77
,03/13/2024,,,,,,,,,,,,24,
,,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.2800.2110.51010.300,,Social,Worker,Salary,"$73,076.04","$47,450.51",,"$59,514.93",,"$63,019.00","$63,019.00",$0.00,0.00
,1000.2800.2110.52010.300,,Social,Worker,Benefits,"$3,461.99","$7,888.50",,,"$8,325.52","$10,359.00","$18,353.00","$7,994.00",77.17
,1000.2800.2110.52310.300,,Retirement,,,$367.08,"$1,822.05",,,"$2,280.20","$2,817.00","$3,110.00",$293.00,10.40
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$76,905.11","$57,161.06",,"$70,120.65",,"$76,195.00","$84,482.00","$8,287.00",10.88
Function:,Attendance,& Social,Work -,2110,,"$76,905.11","$57,161.06",,"$70,120.65",,"$76,195.00","$84,482.00","$8,287.00",10.88
,1000.2800.2140.51010.300,,,Psychological,Services Salary,"$18,859.46",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.300,,Psych,Services,Benefit,$452.83,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.300,,Retirement,,,$157.08,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.300,,Travel,,,$0.00,,$20.00,,$83.32,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$19,469.37",,$20.00,,$83.32,$0.00,$0.00,$0.00,0.00
Function:,,PSYCHOLOGICAL,- 2140,,,"$19,469.37",,$20.00,,$83.32,$0.00,$0.00,$0.00,0.00
,1000.2800.2150.51010.300,,Speech,&,Audiology Salaries,$0.00,"$40,279.79",,"$41,815.28",,"$43,149.00","$43,149.00",$0.00,0.00
,1000.2800.2150.52010.300,,Speech,&,Audiology Benefits,$0.00,"$9,774.74",,,"$8,564.82","$8,683.00","$15,135.00","$6,452.00",74.31
,1000.2800.2150.52310.300,,Retirement,,,$0.00,"$1,653.94",,,"$1,605.65","$1,928.00","$2,064.00",$136.00,7.05
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,"$51,708.47",,"$51,985.75",,"$53,760.00","$60,348.00","$6,588.00",12.25
Function:,SPEECH,& AUDIOLOGY,-,2150,,$0.00,"$51,708.47",,"$51,985.75",,"$53,760.00","$60,348.00","$6,588.00",12.25
,1000.2800.2160.51010.300,,OT,Salary,,"$5,069.50","$6,068.93",,,"$6,474.80","$6,901.00","$6,121.00",($780.00),(11.30)
,1000.2800.2160.52010.300,,OT,Benefits,,$16.04,,$479.65,,$514.47,$504.00,"$1,126.00",$622.00,123.41
,03/13/2024,,,,,,,,,,,,25,
