,1000.2800.2170.51010.950,,PT Salary,,"$42,440.00",$0.00,"$42,440.00",,$0.00,$0.00,"$42,440.00","$42,632.48",($192.48),-0.45%
,1000.2800.2170.52010.950,,PT Benefits,,"$16,569.00",$0.00,"$16,569.00",,$0.00,$0.00,"$16,569.00",$0.00,"$16,569.00",100.00%
,1000.2800.2170.52310.950,,PT Retirement,,"$2,046.00",$0.00,"$2,046.00",,$0.00,$0.00,"$2,046.00",$0.00,"$2,046.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$61,055.00",$0.00,"$61,055.00",,$0.00,$0.00,"$61,055.00","$42,632.48","$18,422.52",30.17%
,,,Function:,PT - 2170,"$61,055.00",$0.00,"$61,055.00",,$0.00,$0.00,"$61,055.00","$42,632.48","$18,422.52",30.17%
,1000.2500.2330.53440.950,,MAINECARE SEED-,BEHAVORIAL,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,,DAY,,,,,,,,,,,
,,,Program: ADMINISTRATION,- 2500,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,,Cost,Center: K-8 - 950,"$251,808.00",$0.00,"$251,808.00",,$29.50,$29.50,"$251,778.50","$88,275.99","$163,502.51",64.93%
,1000.2400.1000.53440.990,,Tutoring Services -,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,,,Hospital/Homebound,SEC,,,,,,,,,,
,,,Program: Homebound/Hospital,- 2400,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,,Function:,REGULAR INSTRUCTION,- 1000,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,1000.2800.2140.51010.990,,Psychological,Services Salary 9-12,"$76,709.00",$0.00,"$76,709.00",,$0.00,$0.00,"$76,709.00","$45,643.52","$31,065.48",40.50%
,1000.2800.2140.52010.990,,Psych Services,Benefit,"$26,083.00",$0.00,"$26,083.00",,$0.00,$0.00,"$26,083.00",$0.00,"$26,083.00",100.00%
,1000.2800.2140.52310.990,,Retirement,,"$3,711.00",$0.00,"$3,711.00",,$0.00,$0.00,"$3,711.00",$0.00,"$3,711.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$106,503.00",$0.00,"$106,503.00",,$0.00,$0.00,"$106,503.00","$45,643.52","$60,859.48",57.14%
,,,Function: PSYCHOLOGICAL,- 2140,"$106,503.00",$0.00,"$106,503.00",,$0.00,$0.00,"$106,503.00","$45,643.52","$60,859.48",57.14%
,,,,,,Page,16 of,44,,,,,,
,,,,,,RSU,No.,5,,,,,,
,Article 2 Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2500.2330.53440.990,MAINE,CARE SEED-,,"$17,400.00",$0.00,"$17,400.00",,$0.00,$0.00,"$17,400.00",$0.00,"$17,400.00",100.00%
,,BEHAVORIAL,DAY,,,,,,,,,,,
,,Program:,ADMINISTRATION,- 2500,"$17,400.00",$0.00,"$17,400.00",,$0.00,$0.00,"$17,400.00",$0.00,"$17,400.00",100.00%
,Function:,SPECIAL AREA,ADMINISTRATION,- 2330,"$17,400.00",$0.00,"$17,400.00",,$0.00,$0.00,"$17,400.00",$0.00,"$17,400.00",100.00%
,,,Cost Center:,9-12 - 990,"$128,903.00",$0.00,"$128,903.00",,$0.00,$0.00,"$128,903.00","$45,643.52","$83,259.48",64.59%
Grand,Total:,,,,"$5,870,507.00",$0.00,"$5,870,507.00",,"$9,466.15","$9,466.15","$5,861,040.85","$3,318,131.33","$2,542,909.52",43.32%
,,,,,,End,of Report,,,,,,,
,,,,,,,Page 17 of,44,,,,,,
