,1000.0000.2400.55310.050,,,Postage,"$2,115.27",,"$1,947.05","$1,344.86","$2,020.00","$2,020.00",,$0.00,0.00
,1000.0000.2400.55800.050,,,Travel,$390.08,,$437.57,$246.03,$810.00,$810.00,,$0.00,0.00
,1000.0000.2400.56000.050,,,Supplies,$494.47,,$502.75,$417.48,$500.00,$500.00,,$0.00,0.00
,1000.0000.2400.58100.050,,,Dues & Fees,$340.00,,$928.00,"$2,918.00","$2,900.00","$2,900.00",,$0.00,0.00
,Program:,OVERHEAD -,0000,,"$372,552.86","$447,217.07",,"$371,198.27","$454,972.00","$462,558.00",,"$7,586.00",1.67
,,,,,Page,72 of 89,,,,,,,
,,,,,RSU,No. 5,,,,,,,
FY27,Article,7 School,,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,Function: SCHOOL,,ADMINISTRATION -,2400,"$372,552.86","$447,217.07",,"$371,198.27","$454,972.00","$462,558.00",,"$7,586.00",1.67
Cost,Center:,FREEPORT,MIDDLE SCHOOL,- 050,"$372,552.86","$447,217.07",,"$371,198.27","$454,972.00","$462,558.00",,"$7,586.00",1.67
,1000.0000.2400.51040.300,,,Admin Salaries,"$239,736.00","$378,416.36",,"$270,139.95","$280,677.00","$280,371.00",,($306.00),(0.11)
,1000.0000.2400.51180.300,,,Support Wages,"$125,863.97","$120,072.69",,"$133,378.69","$127,508.00","$127,818.00",,$310.00,0.24
,1000.0000.2400.52040.300,,,Admin Benefits,"$50,056.72","$64,613.98",,"$57,554.07","$72,443.00","$74,858.00",,"$2,415.00",3.33
,1000.0000.2400.52080.300,,,Support Benefits,"$41,607.46","$35,734.72",,"$33,905.94","$51,654.00","$65,440.00","$13,786.00",,26.69
,1000.0000.2400.52340.300,,,Retirement,"$9,182.70","$16,774.34",,"$11,836.24","$12,546.00","$13,236.00",,$690.00,5.50
,1000.0000.2400.52380.300,,,Retirement,"$2,474.04",,"$2,571.56",$370.04,"$6,375.00","$6,052.00",,($323.00),(5.07)
,1000.0000.2400.53400.300,,,Admin Purchased,$0.00,,$400.00,$0.00,"$1,044.00","$1,059.00",,$15.00,1.44
,,,,Professional,,,,,,,,,
,1000.0000.2400.55310.300,,,Postage,"$3,496.71",,"$4,170.97",$720.00,"$3,784.00","$3,284.00",,($500.00),(13.21)
,1000.0000.2400.55800.300,,,Travel,$475.68,,$742.00,"$1,110.29","$1,250.00","$1,250.00",,$0.00,0.00
,1000.0000.2400.56000.300,,,Supplies,"$1,406.81",,"$1,593.02","$1,369.76",$400.00,$400.00,,$0.00,0.00
,1000.0000.2400.56400.300,,,Admin Books,$0.00,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2400.58100.300,,,Dues and Fees,"$6,692.82",,"$6,625.87","$6,654.00","$6,962.00","$6,835.00",,($127.00),(1.82)
,Program:,OVERHEAD - 0000,,,"$480,992.91","$631,715.51",,"$517,038.98","$564,943.00","$580,903.00","$15,960.00",,2.83
,Function: SCHOOL,,ADMINISTRATION -,2400,"$480,992.91","$631,715.51",,"$517,038.98","$564,943.00","$580,903.00","$15,960.00",,2.83
Cost,Center:,FREEPORT,HIGH SCHOOL,- 300,"$480,992.91","$631,715.51",,"$517,038.98","$564,943.00","$580,903.00","$15,960.00",,2.83
,,,,,Page,73 of 89,,,,,,,
