,1000.2800.2160.52010.050,,OT,Benefits,,,$16.07,,"$2,013.25","$1,713.62",,"$2,126.00",,"$3,050.00",,$924.00,43.46
,1000.2800.2160.52310.050,,Retirement,,,,$54.54,,$515.32,$296.60,,$350.00,,$379.00,,$29.00,8.29
,Program: OTHER,SPECIAL,PROGRAMS,- 2800,,"$5,140.45",,"$15,723.07","$9,728.54",,"$10,304.00",,"$11,257.00",,$953.00,,9.25
,Function: OT -,2160,,,,"$5,140.45",,"$15,723.07","$9,728.54",,"$10,304.00",,"$11,257.00",,$953.00,,9.25
Cost,Center:,FREEPORT,MIDDLE,SCHOOL -,050,"$652,766.41","$799,810.34",,"$831,851.72",,"$962,695.00",,"$1,040,117.00",,"$77,422.00",,8.04
,03/27/2024,,,,,,,,,,,,,,,23 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,,,,,
From,Date:,7/1/2023,To,Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.2100.1000.51210.300,,Tutor Salaries/ESY,,,,$0.00,,$999.00,$471.00,,"$5,000.00",,"$5,000.00",,$0.00,0.00
,1000.2100.1000.52010.300,,Benefits,,,,$0.00,,$0.00,,$29.69,$250.00,,$0.00,($250.00),,(100.00)
,1000.2100.1000.52030.300,,Tutor Benefits,,,,$0.00,,$0.00,,$0.00,$198.00,,$0.00,($198.00),,(100.00)
,1000.2100.1000.52310.300,,Retirement,,,,$0.00,,$0.00,,$56.44,,$0.00,$0.00,,$0.00,0.00
,1000.2100.1000.53440.300,,Purchased,Professional,,,$344.00,,$0.00,$610.00,,"$1,000.00",,"$1,250.00",,$250.00,25.00
Program:,REGULAR,CLASSROOM,PLACEMENT,- 2100,,$344.00,,$999.00,"$1,167.13",,"$6,448.00",,,"$6,250.00",($198.00),,(3.07)
,1000.2200.1000.51010.300,,Teacher,Salaries,,,"$188,250.41",,"$149,407.92","$146,732.73",,"$153,863.00",,"$153,863.00",,$0.00,0.00
,1000.2200.1000.51020.300,,Ed Tech,Salaries,,,"$31,094.72",,"$30,011.59","$48,180.49",,"$102,961.00",,"$65,572.00","($37,389.00)",,(36.31)
,1000.2200.1000.52010.300,,Teacher,Benefits,,,"$12,371.36",,"$43,997.73","$36,941.79",,"$46,771.00",,"$64,234.00","$17,463.00",,37.34
,1000.2200.1000.52020.300,,Ed Tech,Benefits,,,"$1,253.39",,"$13,272.63","$18,522.68",,"$55,395.00",,"$25,443.00","($29,952.00)",,(54.07)
,1000.2200.1000.52310.300,,Retirement,,,,"$1,819.69",,"$5,929.75","$5,634.71",,"$6,877.00",,"$7,455.00",,$578.00,8.40
,1000.2200.1000.52320.300,,Retirement,,,,$331.76,,"$1,152.40","$1,855.16",,"$4,925.00",,"$2,931.00","($1,994.00)",,(40.49)
Program:,RESOURCE,,CLASSROOM,PLACEMENT -,2200,"$235,121.33","$243,772.02",,"$257,867.56",,"$370,792.00",,"$319,498.00",,"($51,294.00)",,(13.83)
,1000.2300.1000.51010.300,,Teacher,Salaries,,,"$149,707.68",,"$135,427.64","$142,287.71",,"$149,867.00",,"$120,710.00","($29,157.00)",,(19.46)
,1000.2300.1000.51020.300,,Ed Tech,Salaries,,,"$128,660.03",,"$114,018.15","$68,262.27",,"$49,136.00",,"$145,841.00","$96,705.00",,196.81
,1000.2300.1000.52010.300,,Teacher,Benefits,,,"$8,373.35",,"$25,502.80","$24,506.18",,"$32,357.00",,"$36,977.00","$4,620.00",,14.28
,1000.2300.1000.52020.300,,Ed Tech,Benefits,,,"$8,284.41",,"$26,139.90","$18,768.20",,"$16,022.00",,"$60,183.00","$44,161.00",,275.63
,1000.2300.1000.52310.300,,Retirement,,,,"$1,400.46",,"$5,200.34","$5,463.87",,"$6,699.00",,"$5,954.00",($745.00),,(11.12)
,1000.2300.1000.52320.300,,Retirement,,,,$923.72,,"$2,108.39","$1,513.90",,"$2,350.00",,"$6,519.00","$4,169.00",,177.40
Program:,SELF,CONTAINED,CLASS,PLACEMENT -,2300,"$297,349.65","$308,397.22",,"$260,802.13",,"$256,431.00",,"$376,184.00",,"$119,753.00",,46.70
Function:,REGULAR,INSTRUCTION,- 1000,,,"$532,814.98","$553,168.24",,"$519,836.82",,"$633,671.00",,"$701,932.00",,"$68,261.00",,10.77
,03/27/2024,,,,,,,,,,,,,,,24 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.2800.2110.51010.300,,Social,Worker,Salary,,"$73,076.04",,"$47,450.51","$59,514.93",,"$63,019.00",,"$63,019.00",,$0.00,0.00
,1000.2800.2110.52010.300,,Social,Worker,Benefits,,"$3,461.99",,"$7,888.50","$8,325.52",,"$10,359.00",,"$18,353.00","$7,994.00",,77.17
,1000.2800.2110.52310.300,,Retirement,,,,$367.08,,"$1,822.05","$2,280.20",,"$2,817.00",,"$3,110.00",,$293.00,10.40
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$76,905.11",,"$57,161.06","$70,120.65",,"$76,195.00",,"$84,482.00",,"$8,287.00",,10.88
Function:,Attendance,& Social,Work -,2110,,"$76,905.11",,"$57,161.06","$70,120.65",,"$76,195.00",,"$84,482.00",,"$8,287.00",,10.88
,1000.2800.2140.51010.300,,Psychological,,Services Salary,,"$18,859.46",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52010.300,,Psych,Services,Benefit,,$452.83,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52310.300,,Retirement,,,,$157.08,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.55800.300,,Travel,,,,$0.00,,$20.00,,$83.32,,$0.00,$0.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$19,469.37",,$20.00,,$83.32,,$0.00,,$0.00,$0.00,,0.00
Function:,,PSYCHOLOGICAL,- 2140,,,"$19,469.37",,$20.00,,$83.32,,$0.00,,$0.00,$0.00,,0.00
,1000.2800.2150.51010.300,,Speech,&,Audiology Salaries,,$0.00,,"$40,279.79","$41,815.28",,"$43,149.00",,"$43,149.00",,$0.00,0.00
,1000.2800.2150.52010.300,,Speech,&,Audiology Benefits,,$0.00,,"$9,774.74","$8,564.82",,"$8,683.00",,"$15,135.00","$6,452.00",,74.31
,1000.2800.2150.52310.300,,Retirement,,,,$0.00,,"$1,653.94","$1,605.65",,"$1,928.00",,"$2,064.00",,$136.00,7.05
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,,"$51,708.47","$51,985.75",,"$53,760.00",,"$60,348.00",,"$6,588.00",,12.25
Function:,SPEECH,& AUDIOLOGY,- 2150,,,$0.00,,"$51,708.47","$51,985.75",,"$53,760.00",,"$60,348.00",,"$6,588.00",,12.25
,1000.2800.2160.51010.300,,OT Salary,,,,"$5,069.50",,"$6,068.93","$6,474.80",,"$6,901.00",,"$6,121.00",($780.00),,(11.30)
,1000.2800.2160.52010.300,,OT,Benefits,,,$16.04,,$479.65,$514.47,,$504.00,,"$1,126.00",,$622.00,123.41
,03/27/2024,,,,,,,,,,,,,,,25 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,,1000.2800.2160.52310.300,,Retirement,,,$54.48,,$241.89,$248.56,,$308.00,,$301.00,,($7.00),(2.27)
,Program:,OTHER,SPECIAL PROGRAMS,- 2800,,"$5,140.02",,"$6,790.47","$7,237.83",,"$7,713.00",,,"$7,548.00",($165.00),,(2.14)
,Function:,OT - 2160,,,,"$5,140.02",,"$6,790.47","$7,237.83",,"$7,713.00",,,"$7,548.00",($165.00),,(2.14)
Cost,Center:,FREEPORT,HIGH,SCHOOL - 300,,"$634,329.48","$668,848.24",,"$649,264.37",,"$771,339.00",,"$854,310.00",,"$82,971.00",,10.76
,,1000.2800.2110.55800.900,,Social Worker,Travel,,$0.00,,$0.00,,$0.00,$300.00,,$0.00,,($300.00),(100.00)
,Program:,OTHER,SPECIAL PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,$300.00,,,$0.00,($300.00),,(100.00)
,Function:,Attendance,& Social Work,- 2110,,$0.00,,$0.00,,$0.00,$300.00,,,$0.00,($300.00),,(100.00)
,,1000.2800.2140.55800.900,,Psychologist Travel,- District Wide,,$0.00,,$0.00,,$0.00,"$1,785.00",,"$1,100.00",,($685.00),(38.38)
,Program:,OTHER,SPECIAL PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,"$1,785.00",,,"$1,100.00",($685.00),,(38.38)
,Function:,PSYCHOLOGICAL,- 2140,,,$0.00,,$0.00,,$0.00,"$1,785.00",,,"$1,100.00",($685.00),,(38.38)
,,1000.2800.2150.55800.900,,Travel - Speech,District Wide,,$0.00,,$0.00,,$0.00,$375.00,,$0.00,,($375.00),(100.00)
,Program:,OTHER,SPECIAL PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,$375.00,,,$0.00,($375.00),,(100.00)
,Function:,SPEECH,& AUDIOLOGY,- 2150,,$0.00,,$0.00,,$0.00,$375.00,,,$0.00,($375.00),,(100.00)
,,1000.2800.2160.55800.900,,Travel - OT - District,Wide,,$0.00,,$0.00,,$0.00,$835.00,,$300.00,,($535.00),(64.07)
,Program:,OTHER,SPECIAL PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,$835.00,,,$300.00,($535.00),,(64.07)
,Function:,OT - 2160,,,,$0.00,,$0.00,,$0.00,$835.00,,,$300.00,($535.00),,(64.07)
,,03/27/2024,,,,,,,,,,,,,,26 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To,Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.2800.2170.55800.900,,,Travel - PT -,District Wide,,$0.00,,$0.00,,$0.00,$500.00,,$300.00,($200.00),,(40.00)
Program:,OTHER,SPECIAL,,PROGRAMS -,2800,$0.00,,$0.00,,$0.00,$500.00,,,$300.00,($200.00),,(40.00)
Function:,PT -,2170,,,,$0.00,,$0.00,,$0.00,$500.00,,,$300.00,($200.00),,(40.00)
,1000.2800.2190.51010.900,,,BCBA Salary,,,$0.00,,$0.00,,$0.00,"$70,000.00",,"$62,131.00","($7,869.00)",,(11.24)
,1000.2800.2190.52010.900,,,BCBA Benefits,,,$0.00,,$0.00,,$0.00,"$18,000.00",,"$29,685.00","$11,685.00",,64.92
,1000.2800.2190.52310.900,,,BCBA Retirement,,,$0.00,,$0.00,,$0.00,"$2,000.00",,"$3,057.00","$1,057.00",,52.85
Program:,OTHER,SPECIAL,,PROGRAMS -,2800,$0.00,,$0.00,,$0.00,"$90,000.00",,"$94,873.00",,"$4,873.00",,5.41
Function:,OTHER,SUPPORT,,SERVICES -,2190,$0.00,,$0.00,,$0.00,"$90,000.00",,"$94,873.00",,"$4,873.00",,5.41
,1000.2500.2330.51010.900,,,Instructional,Strategist Salaries,,"$216,539.46",,"$233,936.10","$243,084.65",,"$252,471.00",,"$231,880.00","($20,591.00)",,(8.16)
,1000.2500.2330.51040.900,,,Admin Salaries,,,"$136,213.02",,"$140,837.68","$126,756.56",,"$126,000.00",,"$137,592.00","$11,592.00",,9.20
,1000.2500.2330.51180.900,,,Support Wages,,,"$51,839.29",,"$52,208.65","$53,188.92",,"$53,040.00",,"$59,380.00","$6,340.00",,11.95
,1000.2500.2330.51230.900,,,Substitutes,,,"$38,214.28",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2500.2330.52010.900,,,Instructional,Strategist Benefits,,"$6,907.35",,"$35,279.24","$33,629.63",,"$34,071.00",,"$75,234.00","$41,163.00",,120.82
,1000.2500.2330.52030.900,,,Sub Benefits,,,$76.88,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2500.2330.52040.900,,,Admin Benefits,,,"$4,452.26",,"$13,731.54","$11,669.30",,"$18,114.00",,"$18,001.00",($113.00),,(0.62)
,1000.2500.2330.52080.900,,,Support Benefits,,,"$19,924.26",,"$22,128.95","$22,600.25",,"$22,240.00",,"$26,443.00","$4,203.00",,18.90
,1000.2500.2330.52310.900,,,Retirement,,,"$1,243.02",,"$9,522.47","$9,334.03",,"$11,285.00",,"$11,227.00",,($58.00),(0.51)
,1000.2500.2330.52330.900,,,Retirement,,,$512.59,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2500.2330.52340.900,,,Retirement,,,"$2,096.80",,"$5,637.10","$4,466.17",,"$5,857.00",,"$6,150.00",,$293.00,5.00
,03/27/2024,,,,,,,,,,,,,,,27 of 81,
