,,,,,,RSU,No. 5,,,,
,,,,RSU,No.,5,,,,,
Article 4,Other,Instruction - - Adopted,,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.9200.1000.52030.050,,Other Benefits,$448,,$581,,$59,$22,$0,($22),(100.00)
1000.9200.1000.52040.050,,AD Benefits,"$3,803",,"$4,016",,$0,"$6,226","$6,994",$768,12.33
1000.9200.1000.52080.050,,Support Benefits,$0,,$0,,$0,$740,$904,$164,22.19
1000.9200.1000.52300.050,,Retirement,$994,,$139,,$0,"$4,747","$4,746",($1),(0.02)
1000.9200.1000.52330.050,,Retirement,$0,,$22,,$0,$0,$0,$0,0.00
1000.9200.1000.52340.050,,Retirement,"$1,162",,"$1,442",,$0,"$1,318","$1,370",$52,3.97
1000.9200.1000.53000.050,,Game Officials,"$13,990",,"$9,629",,"$3,818","$21,785","$21,917",$132,0.61
1000.9200.1000.55800.050,,Travel,$0,,$0,,$0,$75,$0,($75),(100.00)
1000.9200.1000.56100.050,,Program Supplies,"$23,234",,"$16,231",,"$26,649","$27,311","$28,183",$872,3.19
1000.9200.1000.58100.050,,Dues and Fees,"$13,439",,"$16,483",,"$6,612","$17,508","$17,958",$450,2.57
1000.9200.2330.51010.050,,Athletic Director Salary -,$0,,$0,,$0,"$31,676","$32,942","$1,266",4.00
1000.9200.2330.51180.050,,Athletic Office Support Staff,Wages - $0,,$0,,$0,"$10,214","$5,249","($4,965)",(48.61)
1000.9500.1000.51500.300,,Stipends,"$81,264",,"$81,263",,"$80,157","$89,944","$80,000","($9,944)",(11.06)
1000.9500.1000.52000.300,,Stipend Benefits,"$3,968",,"$2,001",,$441,"$1,797","$3,834","$2,037",113.38
1000.9500.1000.52300.300,,Retirement,$684,,$45,,$0,"$3,742","$3,189",($553),(14.77)
1000.9500.1000.56000.300,,Supplies,"$4,100",,"$1,116",,$0,$0,$0,$0,0.00
1000.9500.1000.56100.300,,Instructional Supplies,$0,,$0,,"$2,693","$1,505","$2,205",$700,46.51
1000.9500.1000.58100.300,,Dues and Fees,"$5,002",,"$4,595",,"$5,643","$12,295","$13,470","$1,175",9.56
1000.9600.1000.51040.300,,Athletic Director Salaries,"$68,301",,"$80,858",,$0,$0,$0,$0,0.00
1000.9600.1000.51230.300,,Other Wages,"$15,636",,"$14,505",,$0,$0,$0,$0,0.00
1000.9600.1000.51500.300,,Stipends-Coaches,"$147,846","$108,088",,,"$151,984","$169,732","$164,788","($4,944)",(2.91)
1000.9600.1000.52000.300,,Stipend Benefits,"$10,276",,"$8,051",,$719,"$8,487","$8,239",($248),(2.92)
1000.9600.1000.52030.300,,Other Benefits,"$1,449",,"$1,377",,$145,$0,$0,$0,0.00
1000.9600.1000.52040.300,,Athletic Director Benefits,"$8,874",,"$9,371",,$0,"$14,528","$16,364","$1,836",12.64
