,1000.1100.1000.52330.040,,,Retirement,$320.97,,,$195.08,$383.81,"$1,955.00","$1,173.00",,($782.00),(40.00)
,1000.1100.1000.53400.040,,,Purchased Professional,"$15,932.20",,,"$13,963.00","$19,026.89","$19,078.00","$17,395.00","($1,683.00)",,(8.82)
,1000.1100.1000.54300.040,,Copiers,Repair/Maint,"$3,870.12",,,"$7,952.46","$15,332.62","$11,800.00","$11,800.00",,$0.00,0.00
,1000.1100.1000.54330.040,,Software,,"$4,008.63",,,"$5,128.62","$5,893.00","$6,542.14","$6,147.00",,($395.14),(6.04)
,1000.1100.1000.55800.040,,Travel,,$558.66,,,$244.87,$707.23,"$1,810.00","$1,810.00",,$0.00,0.00
,,,,,,Page,8 of 89,,,,,,,
,,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,Instruction-,Proposed,,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition:,FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,,
,1000.1100.1000.56100.040,,,Instructional Supplies,"$36,693.73",,,"$37,130.04","$40,254.94","$40,747.39","$41,663.00",,$915.61,2.25
,1000.1100.1000.56110.040,,,"Equipment & Furniture,",,$0.00,,$0.00,$0.00,"$6,554.00","$3,806.00","($2,748.00)",,(41.93)
,,,,Instructional,,,,,,,,,,
,1000.1100.1000.56400.040,,,Books,"$5,868.48",,,"$6,274.45","$8,806.06","$8,214.47","$6,000.00","($2,214.47)",,(26.96)
,1000.1100.1000.57300.040,,,Equipment,"$7,524.05",,,"$4,967.24","$15,887.03",$0.00,$0.00,,$0.00,0.00
,1000.1100.1000.58100.040,,,Dues and Fees,,$0.00,,$150.00,$0.00,$0.00,$0.00,,$0.00,0.00
,Program:,ELEMENTARY,PROGRAMS - 1100,,"$1,890,487.76",,"$1,999,725.55",,"$2,204,257.61","$2,475,747.00","$2,338,114.00","($137,633.00)",,(5.56)
,Function: REGULAR,INSTRUCTION,- 1000,,"$1,890,487.76",,"$1,999,725.55",,"$2,204,257.61","$2,475,747.00","$2,338,114.00","($137,633.00)",,(5.56)
Cost,Center:,MAST LANDING,- 040,,"$1,890,487.76",,"$1,999,725.55",,"$2,204,257.61","$2,475,747.00","$2,338,114.00","($137,633.00)",,(5.56)
,1000.1100.1000.51010.050,,,Teacher Salaries,"$1,778,436.68",,"$1,878,258.46",,"$1,981,698.26","$2,154,906.00","$2,193,163.00","$38,257.00",,1.78
,1000.1100.1000.51020.050,,,Ed Tech Salaries,"$93,896.20",,,"$97,910.57","$110,106.05","$104,576.00","$44,491.00","($60,085.00)",,(57.46)
,1000.1100.1000.51230.050,,,Substitute Wages,"$44,853.80",,,"$51,024.28","$102,489.31","$54,596.00","$70,751.00","$16,155.00",,29.59
,1000.1100.1000.51500.050,,,Stipends,,$0.00,,$0.00,"$1,405.08","$5,250.00","$5,250.00",,$0.00,0.00
,1000.1100.1000.52000.050,,,Stipend Benefits,,$0.00,,$0.00,$39.65,$176.00,$176.00,,$0.00,0.00
,1000.1100.1000.52010.050,,,Teacher Benefits,"$376,462.40",,"$462,548.17",,"$478,973.05","$554,470.00","$590,738.00","$36,268.00",,6.54
,1000.1100.1000.52020.050,,,Ed Tech Benefits,"$21,740.47",,,"$21,627.48","$14,125.10","$14,815.00","$15,100.00",,$285.00,1.92
,1000.1100.1000.52030.050,,,Substitute Benefits,"$3,926.91",,,"$3,200.48","$6,025.00","$1,763.00","$6,672.00",,"$4,909.00",278.45
,1000.1100.1000.52300.050,,,Retirement,,$0.00,,$0.00,$62.79,$235.00,$235.00,,$0.00,0.00
,1000.1100.1000.52310.050,,,Retirement,"$67,968.73",,,"$84,044.72","$88,300.95","$96,324.00","$96,771.00",,$447.00,0.46
,,,,,,Page,9 of 89,,,,,,,
