,,1000.0000.2600.56240.010,,Heating,Fuel,,,"$11,824.50",,"$11,645.53","$17,413.11",,"$18,000.00",,"$20,000.00","$2,000.00",,11.11
,Program:,OVERHEAD,- 0000,,,,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00",,"$637,233.00",,"$53,075.00",,9.09
,Function:,OPERATION,OF,PLANT -,2600,,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00",,"$637,233.00",,"$53,075.00",,9.09
Cost,Center:,,DURHAM,COMMUNITY,- 010,,"$419,654.99","$508,774.70",,"$532,680.49",,"$584,158.00",,"$637,233.00",,"$53,075.00",,9.09
,,1000.0000.2600.51180.020,,Custodial,Salaries,,,"$145,408.76",,"$131,777.99","$144,126.69",,"$181,527.00",,"$291,862.00","$110,335.00",,60.78
,,1000.0000.2600.52080.020,,Custodian,Benefits,,,"$41,594.42",,"$46,388.13","$41,485.22",,"$111,684.00",,"$134,821.00","$23,137.00",,20.72
,,03/27/2024,,,,,,,,,,,,,,,71 of 81,
,,,,,,,,,RSU No.,5,,,,,,,,
,Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,,1000.0000.2600.52380.020,,Retirement,,,,$0.00,,"$1,883.79",$910.78,,"$5,835.00",,"$14,593.00","$8,758.00",,150.09
,,1000.0000.2600.53300.020,,Employee,Training,,,$0.00,,$0.00,,$0.00,$125.00,,$125.00,,$0.00,0.00
,,1000.0000.2600.54100.020,,,Water/Sewage,,,"$19,305.00",,"$27,400.03","$19,511.74",,"$28,000.00",,"$20,097.00","($7,903.00)",,(28.22)
,,1000.0000.2600.54300.020,,Purchased,,Repairs/Maint,,"$41,172.79",,"$24,125.60","$39,979.87",,"$47,000.00",,"$45,308.00","($1,692.00)",,(3.60)
,,1000.0000.2600.55200.020,,Insurance,,,,"$12,877.54",,"$15,192.75","$15,318.31",,"$22,746.00",,"$19,903.00","($2,843.00)",,(12.50)
,,1000.0000.2600.55320.020,,Telephone,,,,"$2,542.91",,"$2,895.16","$4,645.51",,"$3,400.00",,"$4,785.00","$1,385.00",,40.74
,,1000.0000.2600.55800.020,,Travel,,,,$23.39,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56000.020,,Supplies,,,,"$14,382.35",,"$17,664.18","$28,630.04",,"$20,000.00",,"$24,000.00","$4,000.00",,20.00
,,1000.0000.2600.56011.020,,Materials,for Repair,,,"$4,016.92",,"$2,547.97","$4,715.14",,"$4,050.00",,"$4,800.00",,$750.00,18.52
,,1000.0000.2600.56013.020,,Major,Maintenance,,,"$3,641.41",,"$11,307.06","$6,120.56",,"$6,000.00",,"$5,500.00",($500.00),,(8.33)
,,1000.0000.2600.56050.020,,Furniture,& Equipment,- Non Instructional,MSS,$0.00,,"$4,899.25",,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56220.020,,Electricity,,,,"$24,334.59",,"$32,540.40","$21,453.41",,"$18,000.00",,"$6,000.00","($12,000.00)",,(66.67)
,,1000.0000.2600.56240.020,,Heating,Fuel,,,"$40,436.17",,"$38,548.67","$45,349.41",,"$41,053.00",,"$43,500.00","$2,447.00",,5.96
,Program:,OVERHEAD,- 0000,,,,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00",,"$615,294.00",,"$125,874.00",,25.72
,Function:,OPERATION,OF,PLANT -,2600,,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00",,"$615,294.00",,"$125,874.00",,25.72
Cost,Center:,MORSE,STREET,- 020,,,"$349,736.25","$357,170.98",,"$372,246.68",,"$489,420.00",,"$615,294.00",,"$125,874.00",,25.72
,,1000.0000.2600.51180.030,,Custodial,Salaries,,,"$80,213.38",,"$53,087.53","$65,224.21",,"$83,977.00",,"$95,724.00","$11,747.00",,13.99
,,1000.0000.2600.52080.030,,Custodian,Benefits,,,"$18,011.55",,"$8,327.25","$11,523.07",,"$29,653.00",,"$26,590.00","($3,063.00)",,(10.33)
,,1000.0000.2600.52380.030,,Retirement,,,,$0.00,,$382.34,,$0.00,,$0.00,"$4,786.00","$4,786.00",,0.00
,,1000.0000.2600.54300.030,,Purchased,,Repairs/Maint,,"$29,897.92",,"$32,533.93","$36,051.94",,"$37,591.00",,"$36,879.00",($712.00),,(1.89)
,,1000.0000.2600.55200.030,,Insurance,,,,"$8,194.96",,"$9,115.65","$9,190.98",,"$22,746.00",,"$12,666.00","($10,080.00)",,(44.32)
,,03/27/2024,,,,,,,,,,,,,,,72 of 81,
,,,,,,,,,RSU No.,5,,,,,,,,
,Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,,1000.0000.2600.55320.030,,,Telephone,,,"$1,796.47",,"$1,910.92","$2,967.72",,"$2,200.00",,"$3,057.00",,$857.00,38.95
,,1000.0000.2600.55800.030,,Travel,,,,$86.95,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56000.030,,Supplies,,,,"$13,931.50",,"$11,255.83","$18,407.38",,"$12,500.00",,"$12,500.00",,$0.00,0.00
,,1000.0000.2600.56011.030,,Materials,for Repair,,,"$2,448.17",,"$2,794.73","$3,264.73",,"$5,000.00",,"$6,000.00","$1,000.00",,20.00
,,1000.0000.2600.56013.030,,Major,Maintenance,,,"$2,581.96",,"$6,142.86",,$0.00,"$10,600.00",,"$5,900.00","($4,700.00)",,(44.34)
,,1000.0000.2600.56050.030,,Furniture,&,Equipment - Non Instructional,PES,$0.00,,"$3,603.35","$2,321.35",,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56220.030,,Electricity,,,,"$14,523.06",,"$18,570.10","$11,965.22",,"$10,000.00",,"$4,000.00","($6,000.00)",,(60.00)
,,1000.0000.2600.56240.030,,Heating,Fuel,,,"$19,264.92",,"$22,909.17","$26,806.81",,"$28,000.00",,"$29,500.00","$1,500.00",,5.36
,Program:,OVERHEAD,- 0000,,,,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00",,"$237,602.00",,"($4,665.00)",,(1.93)
,Function:,OPERATION,OF,PLANT -,2600,,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00",,"$237,602.00",,"($4,665.00)",,(1.93)
Cost,Center:,,POWNAL,ELEMENTARY,- 030,,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00",,"$237,602.00",,"($4,665.00)",,(1.93)
,,1000.0000.2600.51180.040,,Custodian,Salaries,,,"$78,562.84",,"$152,290.87","$130,629.88",,"$169,946.00",,"$141,512.00","($28,434.00)",,(16.73)
,,1000.0000.2600.52080.040,,Custodian,Benefits,,,"$39,517.35",,"$64,160.48","$58,148.61",,"$112,553.00",,"$79,701.00","($32,852.00)",,(29.19)
,,1000.0000.2600.52380.040,,,Retirement,,,$0.00,,"$6,376.19","$7,045.25",,"$6,385.00",,"$7,076.00",,$691.00,10.82
,,1000.0000.2600.53300.040,,Employee,Training,,,$0.00,,$0.00,,$0.00,$125.00,,$125.00,,$0.00,0.00
,,1000.0000.2600.54100.040,,,Water/Sewage,,,"$6,983.41",,"$8,360.29","$9,758.31",,"$8,500.00",,"$11,287.00","$2,787.00",,32.79
,,1000.0000.2600.54300.040,,,Purchased,Repairs/Maint,,"$40,174.61",,"$36,690.89","$47,368.17",,"$48,663.00",,"$49,399.00",,$736.00,1.51
,,1000.0000.2600.55200.040,,Insurance,,,,"$12,877.54",,"$15,192.75","$15,318.31",,"$22,746.00",,"$19,903.00","($2,843.00)",,(12.50)
,,1000.0000.2600.55320.040,,,Telephone,,,"$2,236.20",,"$2,403.57","$4,211.45",,"$2,800.00",,"$4,337.00","$1,537.00",,54.89
,,1000.0000.2600.55800.040,,Travel,,,,$23.39,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56000.040,,Supplies,,,,"$8,507.06",,"$14,059.85","$22,365.80",,"$20,600.00",,"$24,000.00","$3,400.00",,16.50
,,03/27/2024,,,,,,,,,,,,,,,73 of 81,
