1000.2500.2330.51230.900,,Substitutes,$0.00,"$38,214.28",,,$0.00,"$15,000.00",$0.00,"($15,000.00)",(100.00)
1000.2500.2330.52010.900,,Instructional Strategist,"Benefits $11,664.91","$6,907.35",,"$35,279.24",,"$41,666.00","$34,071.00","($7,595.00)",(18.23)
1000.2500.2330.52030.900,,Sub Benefits,$0.00,,$76.88,,$0.00,$750.00,$0.00,($750.00),(100.00)
1000.2500.2330.52040.900,,Admin Benefits,"$6,324.46","$4,452.26",,,"$9,004.30","$9,679.00","$18,114.00","$8,435.00",87.15
1000.2500.2330.52080.900,,Support Benefits,"$17,785.41","$19,924.26",,"$22,128.95",,"$23,099.00","$22,240.00",($859.00),(3.72)
1000.2500.2330.52310.900,,Retirement,"$5,213.00","$1,243.02",,,"$9,522.47","$5,693.00","$11,285.00","$5,592.00",98.23
1000.2500.2330.52330.900,,Retirement,$0.00,,$512.59,,$0.00,$624.00,$0.00,($624.00),(100.00)
1000.2500.2330.52340.900,,Retirement,"$5,365.62","$2,096.80",,,"$5,637.10",$0.00,"$5,857.00","$5,857.00",0.00
1000.2500.2330.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$2,652.00","$2,652.00",0.00
,03/22/2023,,,,,,,,,Page 15,
,,,,RSU,No.,5,,,,,
Article 2,Special,Education - Adopted,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,FY24,Adopted,,
Account,,Description,,,,,,,,,
1000.2500.2330.53000.900,,Legal,$0.00,,$0.00,,$0.00,$0.00,"$15,000.00","$15,000.00",0.00
1000.2500.2330.53400.900,,Contracted Services,$60.00,,$0.00,"$13,056.91",,$0.00,$0.00,$0.00,0.00
1000.2500.2330.53401.900,,Admin Purchased Services,$0.00,,$0.00,,$0.00,$0.00,"$15,000.00","$15,000.00",0.00
1000.2500.2330.53440.900,,Purchased Professional,"$8,636.84","$1,678.25",,,"$8,024.95","$15,000.00",$0.00,"($15,000.00)",(100.00)
1000.2500.2330.53440.950,,MAINECARE SEED,"$21,629.26","$9,244.78",,,$0.00,"$65,000.00","$65,000.00",$0.00,0.00
1000.2500.2330.53440.990,,MAINE CARE SEED,"$1,880.81",,$0.00,,$0.00,"$2,400.00","$2,400.00",$0.00,0.00
1000.2500.2330.55310.900,,Postage,$95.78,,$89.26,,$4.45,"$2,000.00","$2,000.00",$0.00,0.00
1000.2500.2330.55350.900,,Adori Special Ed Software,$0.00,,$0.00,,$0.00,$0.00,"$3,200.00","$3,200.00",0.00
1000.2500.2330.55800.900,,Travel,"$1,086.60","$2,023.79",,,"$4,227.18","$10,000.00","$6,000.00","($4,000.00)",(40.00)
1000.2500.2330.56000.900,,Supplies,"$4,277.11",,$76.13,,"$1,070.16","$1,300.00","$4,300.00","$3,000.00",230.77
1000.2500.2330.58100.900,,Dues & Fees,"$1,403.76",,$210.82,,$0.00,$600.00,$650.00,$50.00,8.33
1000.2500.2330.59000.900,,Contingency,$0.00,,$0.00,,$0.00,"$40,000.00","$40,000.00",$0.00,0.00
1000.2800.2110.51010.010,,Social Worker Salary,"$60,722.74","$62,472.01",,"$68,150.34",,"$72,464.00","$75,443.00","$2,979.00",4.11
1000.2800.2110.51010.020,,Social Worker Salary,"$67,888.08","$33,721.89",,"$35,007.21",,"$36,874.00","$38,165.00","$1,291.00",3.50
1000.2800.2110.51010.030,,Social Worker Salary,"$30,603.82","$25,867.75",,"$32,029.23",,"$32,613.00","$35,594.00","$2,981.00",9.14
1000.2800.2110.51010.040,,Social Worker Salary,"$93,918.04","$62,567.25",,"$35,007.21",,"$36,246.00","$38,165.00","$1,919.00",5.29
1000.2800.2110.51010.050,,Social Worker Salary,"$68,962.66","$73,331.28",,"$76,892.22",,"$80,852.00","$85,029.00","$4,177.00",5.17
1000.2800.2110.51010.300,,Social Worker Salary,"$37,332.36","$73,076.04",,"$47,450.51",,"$58,958.00","$63,019.00","$4,061.00",6.89
1000.2800.2110.52010.010,,Social Worker Benefits,"$10,009.94","$2,212.77",,"$10,018.10",,"$10,511.00","$11,181.00",$670.00,6.37
1000.2800.2110.52010.020,,Social Worker Benefits,"$16,978.76","$1,777.42",,,"$7,798.63","$7,997.00","$10,609.00","$2,612.00",32.66
1000.2800.2110.52010.030,,Social Worker Benefits,$859.83,,$82.68,,$536.08,"$2,133.00","$6,970.00","$4,837.00",226.77
1000.2800.2110.52010.040,,Social Worker Benefits,"$27,779.01","$6,103.34",,,"$7,797.85","$15,258.00","$10,609.00","($4,649.00)",(30.47)
1000.2800.2110.52010.050,,Social Worker Benefits,"$15,633.43","$3,503.61",,"$15,691.80",,"$16,262.00","$21,412.00","$5,150.00",31.67
1000.2800.2110.52010.300,,Social Worker Benefits,"$10,696.12","$3,461.99",,,"$7,888.50","$10,207.00","$10,359.00",$152.00,1.49
,03/22/2023,,,,,,,,,Page 16,
