,,,,,,RSU,No.,5,,,,,,
,1000.2800.2160.52010.050,,OT Benefits,,"$3,050.00",$0.00,"$3,050.00",,$0.00,$0.00,"$3,050.00",$280.06,"$2,769.94",90.82%
,1000.2800.2160.52310.050,,Retirement,,$379.00,$0.00,,$379.00,$0.00,$0.00,$379.00,$0.00,$379.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$11,257.00",$0.00,"$11,257.00",,$0.00,$0.00,"$11,257.00","$8,108.40","$3,148.60",27.97%
,,,,Function: OT - 2160,"$11,257.00",$0.00,"$11,257.00",,$0.00,$0.00,"$11,257.00","$8,108.40","$3,148.60",27.97%
,,Cost Center:,FREEPORT MIDDLE,SCHOOL - 050,"$1,040,117.00",$0.00,"$1,040,117.00",,$145.69,$145.69,"$1,039,971.31","$627,775.23","$412,196.08",39.63%
,1000.2100.1000.51210.300,,Tutor Salaries/ESY,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,1000.2100.1000.53440.300,,Purchased,Professional,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,Program:,REGULAR,CLASSROOM,PLACEMENT - 2100,"$6,250.00",$0.00,"$6,250.00",,$0.00,$0.00,"$6,250.00",$0.00,"$6,250.00",100.00%
,1000.2200.1000.51010.300,,Teacher Salaries,,"$153,863.00",$0.00,"$153,863.00",,$0.00,$0.00,"$153,863.00","$153,862.99",$0.01,0.00%
,1000.2200.1000.51020.300,,Ed Tech Salaries,,"$65,572.00",$0.00,"$65,572.00",,$0.00,$0.00,"$65,572.00",$0.00,"$65,572.00",100.00%
,1000.2200.1000.52010.300,,Teacher Benefits,,"$64,234.00",$0.00,"$64,234.00",,$0.00,$0.00,"$64,234.00",$0.00,"$64,234.00",100.00%
,1000.2200.1000.52020.300,,Ed Tech Benefits,,"$25,443.00",$0.00,"$25,443.00",,$0.00,$0.00,"$25,443.00",$0.00,"$25,443.00",100.00%
,,,,,,Page,13 of,44,,,,,,
,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.52310.300,,Retirement,,"$7,455.00",$0.00,"$7,455.00",,$0.00,$0.00,"$7,455.00",$0.00,"$7,455.00",100.00%
,1000.2200.1000.52320.300,,Retirement,,"$2,931.00",$0.00,"$2,931.00",,$0.00,$0.00,"$2,931.00",$0.00,"$2,931.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$319,498.00",$0.00,"$319,498.00",,$0.00,$0.00,"$319,498.00","$153,862.99","$165,635.01",51.84%
,1000.2300.1000.51010.300,,Teacher Salaries,,"$120,710.00",$0.00,"$120,710.00",,$0.00,$0.00,"$120,710.00","$65,679.19","$55,030.81",45.59%
,1000.2300.1000.51020.300,,Ed Tech Salaries,,"$145,841.00",$0.00,"$145,841.00",,$0.00,$0.00,"$145,841.00","$116,995.43","$28,845.57",19.78%
,1000.2300.1000.52010.300,,Teacher Benefits,,"$36,977.00",$0.00,"$36,977.00",,$0.00,$0.00,"$36,977.00",$0.00,"$36,977.00",100.00%
,1000.2300.1000.52020.300,,Ed Tech Benefits,,"$60,183.00",$0.00,"$60,183.00",,$0.00,$0.00,"$60,183.00",$0.00,"$60,183.00",100.00%
,1000.2300.1000.52310.300,,Retirement,,"$5,954.00",$0.00,"$5,954.00",,$0.00,$0.00,"$5,954.00",$0.00,"$5,954.00",100.00%
,1000.2300.1000.52320.300,,Retirement,,"$6,519.00",$0.00,"$6,519.00",,$0.00,$0.00,"$6,519.00",$0.00,"$6,519.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT - 2300,"$376,184.00",$0.00,"$376,184.00",,$0.00,$0.00,"$376,184.00","$182,674.62","$193,509.38",51.44%
,,Function:,REGULAR,INSTRUCTION - 1000,"$701,932.00",$0.00,"$701,932.00",,$0.00,$0.00,"$701,932.00","$336,537.61","$365,394.39",52.06%
,1000.2800.2110.51010.300,,Social Worker,Salary,"$63,019.00",$0.00,"$63,019.00",,$0.00,$0.00,"$63,019.00","$63,018.95",$0.05,0.00%
,1000.2800.2110.52010.300,,Social Worker,Benefits,"$18,353.00",$0.00,"$18,353.00",,$0.00,$0.00,"$18,353.00",$0.00,"$18,353.00",100.00%
,1000.2800.2110.52310.300,,Retirement,,"$3,110.00",$0.00,"$3,110.00",,$0.00,$0.00,"$3,110.00",$0.00,"$3,110.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$84,482.00",$0.00,"$84,482.00",,$0.00,$0.00,"$84,482.00","$63,018.95","$21,463.05",25.41%
,,Function:,Attendance & Social,Work - 2110,"$84,482.00",$0.00,"$84,482.00",,$0.00,$0.00,"$84,482.00","$63,018.95","$21,463.05",25.41%
,1000.2800.2150.51010.300,,Speech & Audiology,Salaries,"$43,149.00",$0.00,"$43,149.00",,$0.00,$0.00,"$43,149.00",$0.00,"$43,149.00",100.00%
,1000.2800.2150.52010.300,,Speech & Audiology,Benefits,"$15,135.00",$0.00,"$15,135.00",,$0.00,$0.00,"$15,135.00",$0.00,"$15,135.00",100.00%
,1000.2800.2150.52310.300,,Retirement,,"$2,064.00",$0.00,"$2,064.00",,$0.00,$0.00,"$2,064.00",$0.00,"$2,064.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$60,348.00",$0.00,"$60,348.00",,$0.00,$0.00,"$60,348.00",$0.00,"$60,348.00",100.00%
,,Function:,SPEECH &,AUDIOLOGY - 2150,"$60,348.00",$0.00,"$60,348.00",,$0.00,$0.00,"$60,348.00",$0.00,"$60,348.00",100.00%
,1000.2800.2160.51010.300,,OT Salary,,"$6,121.00",$0.00,"$6,121.00",,$0.00,$0.00,"$6,121.00","$5,562.43",$558.57,9.13%
,1000.2800.2160.52010.300,,OT Benefits,,"$1,126.00",$0.00,"$1,126.00",,$0.00,$0.00,"$1,126.00",$280.06,$845.94,75.13%
,1000.2800.2160.52310.300,,Retirement,,$301.00,$0.00,,$301.00,$0.00,$0.00,$301.00,$0.00,$301.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$7,548.00",$0.00,"$7,548.00",,$0.00,$0.00,"$7,548.00","$5,842.49","$1,705.51",22.60%
,,,Function:,OT - 2160,"$7,548.00",$0.00,"$7,548.00",,$0.00,$0.00,"$7,548.00","$5,842.49","$1,705.51",22.60%
,,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$854,310.00",$0.00,"$854,310.00",,$0.00,$0.00,"$854,310.00","$405,399.05","$448,910.95",52.55%
,1000.2800.2140.55800.900,,Psychologist Travel,- District Wide,"$1,100.00",$0.00,"$1,100.00",,$0.00,$0.00,"$1,100.00",$0.00,"$1,100.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$1,100.00",$0.00,"$1,100.00",,$0.00,$0.00,"$1,100.00",$0.00,"$1,100.00",100.00%
,,,Function: PSYCHOLOGICAL,- 2140,"$1,100.00",$0.00,"$1,100.00",,$0.00,$0.00,"$1,100.00",$0.00,"$1,100.00",100.00%
,,,,,,Page,14 of,44,,,,,,
