,1000.0000.2750.55100.900,,,OOD PURCHASED,$0.00,"$95,153.75",,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,TRANSPORTATION,,,,,,,,,
,,,,,Page,76 of 89,,,,,,,
,,,,,RSU,No. 5,,,,,,,
FY27,Article,8,Transportation,& Buses- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,Program:,OVERHEAD -,0000,,"$78,121.74","$179,314.91",,"$116,351.47","$192,811.00","$208,235.00","$15,424.00",,8.00
,Function:,TRANSPORTATION,SPECIAL,ED - 2750,"$78,121.74","$179,314.91",,"$116,351.47","$192,811.00","$208,235.00","$15,424.00",,8.00
,1000.0000.2770.55100.900,,,HOMELESS PURCHASED,$0.00,"$44,141.52",,"$19,459.24",$0.00,$0.00,,$0.00,0.00
,,,,TRANSPORTATION,,,,,,,,,
,Program:,OVERHEAD -,0000,,$0.00,"$44,141.52",,"$19,459.24",$0.00,$0.00,,$0.00,0.00
,Function:,TRANSPORTATION,HOMELESS,- 2770,$0.00,"$44,141.52",,"$19,459.24",$0.00,$0.00,,$0.00,0.00
Cost,Center:,SYSTEM WIDE,- 900,,"$1,483,012.72","$1,589,296.79",,"$1,723,078.07","$1,931,576.00","$2,388,457.00","$456,881.00",,23.65
Grand,Total:,,,,"$1,483,012.72","$1,589,296.79",,"$1,723,078.07","$1,931,576.00","$2,388,457.00","$456,881.00",,23.65
,,,,,End of,Report,,,,,,,
,,,,,Page 77,of 89,,,,,,,
