995,1000-0000-2400-52080-050,,,Support Benefits,,,"22,107.00","31,149.42","37,078.00","34,235.24","56,182.00","13,122.74","17,890.21","-38,291.79",-68.16%,
996,1000-0000-2400-52340-050,,,Retirement,,,"7,148.00","7,352.42","7,790.00","7,789.60","8,054.00","3,083.70","8,336.01",282.01,3.50%,
997,1000-0000-2400-55310-050,,,Postage,,,"1,000.00","1,004.83","1,100.00","1,187.49","1,000.00",646.92,"1,000.00",0.00,0.00%,
998,1000-0000-2400-55800-050,,,Travel,,,810.00,224.49,500.00,593.94,230.00,130.30,810.00,580.00,252.17%,
999,1000-0000-2400-56000-050,,,Supplies,,,500.00,610.31,500.00,567.29,500.00,302.54,500.00,0.00,0.00%,
1000,1000-0000-2400-58100-050,,,Dues & Fees,,,810.00,0.00,810.00,565.00,810.00,0.00,810.00,0.00,0.00%,
,,,,,,Totals,"300,145.00","311,739.20","329,154.00","326,070.90","370,483.00","355,619.18","371,708.07","1,225.07",0.33%,
1001,,,Cost Center:,300 - FREEPORT,HIGH SCHOOL,,,,,,,,,,,
1002,1000-0000-2400-51040-300,,,Admin Salaries,,,"195,487.00","203,305.96","211,438.00","212,137.98","220,103.00","245,892.41","229,180.00","9,077.00",4.12%,5
1003,1000-0000-2400-51180-300,,,Support Wages,,,"79,248.00","82,268.51","95,188.00","98,815.16","82,530.00","134,918.25","109,022.37","26,492.37",32.10%,
1004,1000-0000-2400-52040-300,,,Admin Benefits,,,"62,386.00","48,834.33","55,577.00","48,868.89","56,065.00","48,685.78","50,760.61","-5,304.39",-9.46%,
1005,1000-0000-2400-52080-300,,,Support Benefits,,,"24,848.00","25,001.95","34,127.00","42,942.81","37,195.00","9,785.06","10,749.56","-26,445.44",-71.10%,
1006,1000-0000-2400-52340-300,,,Retirement,,,"8,071.00","8,071.44","8,796.00","8,795.80","9,192.00","3,521.70","9,533.88",341.88,3.72%,
1007,1000-0000-2400-55310-300,,,Postage,,,"2,000.00","1,855.65","2,200.00","2,493.70","2,500.00","2,338.70","3,285.00",785.00,31.40%,
1008,1000-0000-2400-55800-300,,,Travel,,,"3,000.00","1,260.26","1,575.00",693.05,"1,250.00",0.00,"1,250.00",0.00,0.00%,
1009,1000-0000-2400-56000-300,,,Supplies,,,"4,000.00","1,502.43","2,500.00","1,307.38","2,000.00",70.83,"2,000.00",0.00,0.00%,
1010,1000-0000-2400-58100-300,,,Dues and Fees,,,"7,021.00","6,695.48","7,021.00","5,751.00","6,253.00","5,189.00","6,523.00",270.00,4.32%,
,,,,,,Totals,"386,061.00","378,796.01","418,422.00","421,805.77","417,088.00","450,401.73","422,304.42","5,216.42",1.25%,
,,,,,,Article 7 Totals,"1,536,593.00","1,534,923.93","1,637,920.00","1,636,101.48","1,727,711.00","1,778,109.88","1,767,262.80","39,551.80",2.29%,
ARTICLE 8 - TRANSPORTATION,& BUSSES,,,,,,,,,,,,,,,
1011,Function:,2700 -,TRANSPORTATION,,,,,,,,,,,,,
1012,,,Cost Center:,900 - SYSTEM,WIDE,,,,,,,,,,,
1013,1000-0000-2700-51020-900,,,Ed Tech Salaries,,,"66,547.00","19,134.34","42,947.00","5,883.03","38,824.00",0.00,"6,000.00","-32,824.00",-84.55%,
1014,1000-0000-2700-51040-900,,,Administrator,Salary,,"81,470.00","84,729.00","88,118.00","101,153.14","91,291.00","106,206.57","93,934.00","2,643.00",2.90%,
1015,1000-0000-2700-51180-900,,,Bus Drivers,Salaries,,"418,586.00","499,469.40","454,982.00","365,568.35","502,494.00","665,154.64","469,503.43","-32,990.57",-6.57%,
1016,1000-0000-2700-51200-900,,,Substitute,Salaries,,"30,000.00","33,978.13","30,000.00","31,217.68","33,000.00","14,780.48","30,000.00","-3,000.00",-9.09%,
1017,1000-0000-2700-52000-900,,,Sub Bus Driver,Benefits,,"1,500.00","5,743.26","1,500.00","6,666.31","1,650.00","1,643.84","2,319.00",669.00,40.55%,
1018,1000-0000-2700-52020-900,,,Ed Tech Benefits,,,"11,699.00","6,056.46","8,327.00","1,860.61","18,555.00",0.00,"2,000.00","-16,555.00",-89.22%,
1019,1000-0000-2700-52040-900,,,Administrator,Benefits,,"33,248.00","32,628.12","31,135.00","34,164.14","31,729.00","18,807.13","36,206.78","4,477.78",14.11%,
1020,1000-0000-2700-52080-900,,,Bus Driver,Benefits,,"243,942.00","194,575.45","232,664.00","163,247.36","298,798.00","50,284.50","156,324.02","-142,473.98",-47.68%,6
1021,1000-0000-2700-52180-900,,,Retirement,,,0.00,422.50,0.00,8.13,0.00,0.00,0.00,0.00,0.00%,
1022,1000-0000-2700-52320-900,,,Retirement,,,"1,219.00",601.38,710.00,126.40,"1,680.00",0.00,"1,680.00",0.00,0.00%,
1023,1000-0000-2700-52380-900,,,Retirement,,,0.00,0.00,0.00,36.52,0.00,0.00,0.00,0.00,0.00%,
1024,1000-0000-2700-53000-900,,,Purchased,Professional,,"2,258.00","19,131.72","2,258.00","43,138.51","11,605.00","1,322.05","11,605.00",0.00,0.00%,
1025,1000-0000-2700-53300-900,,,Employee,Training,,"2,989.00",642.04,"1,359.00",630.00,"1,359.00",0.00,"1,359.00",0.00,0.00%,
1026,1000-0000-2700-53400-900,,,Contracted,Services,,"11,727.00","1,483.62","6,022.00",660.00,"6,022.00",220.00,"4,000.00","-2,022.00",-33.58%,
1027,1000-0000-2700-54300-900,,,Purchased,Repair/Maint,,"61,807.00","57,536.60","61,807.00","35,184.22","60,000.00","23,688.13","50,000.00","-10,000.00",-16.67%,
1028,1000-0000-2700-54450-900,,,Bus Garage,Lease,,"12,875.00","12,500.00","12,875.00","12,500.00","12,875.00",0.00,"12,875.00",0.00,0.00%,
1029,1000-0000-2700-55100-900,,,Student,Transportation,Contracted Servic,0.00,"1,505.50",0.00,"4,962.50",0.00,0.00,0.00,0.00,0.00%,
1030,1000-0000-2700-55200-900,,,Insurance,,,"10,405.00","10,854.85","11,398.00","11,125.10","13,021.00","13,912.00","16,694.40","3,673.40",28.21%,
,,,,,,,,,20 of 24,,,,,,,
