,,,,,,RSU,No.,5,,,,,,
,1000.0000.2220.54330.010,,Software,,"$1,403.00",$0.00,"$1,403.00",,"$1,319.05","$1,319.05",$83.95,$0.00,$83.95,5.98%
,1000.0000.2220.56100.010,,Supplies,,"$1,300.00",$0.00,"$1,300.00",,$0.00,$0.00,"$1,300.00",$0.00,"$1,300.00",100.00%
,1000.0000.2220.56400.010,,Books,,"$10,185.00",$0.00,"$10,185.00",,$0.00,$0.00,"$10,185.00",$0.00,"$10,185.00",100.00%
,,,Program:,OVERHEAD - 0000,"$167,336.00",$0.00,"$167,336.00",,"$1,619.79","$1,619.79","$165,716.21","$91,218.43","$74,497.78",44.52%
,,,Function: LIBRARY,SERVICES - 2220,"$167,336.00",$0.00,"$167,336.00",,"$1,619.79","$1,619.79","$165,716.21","$91,218.43","$74,497.78",44.52%
,1000.0000.2230.51500.010,,Stipends,,"$4,266.00",$0.00,"$4,266.00",,$0.00,$0.00,"$4,266.00",$0.00,"$4,266.00",100.00%
,1000.0000.2230.52000.010,,Benefits,,$72.00,$0.00,,$72.00,$0.00,$0.00,$72.00,$0.00,$72.00,100.00%
,1000.0000.2230.52300.010,,Stipend Retirement,,$191.00,$0.00,,$191.00,$0.00,$0.00,$191.00,$0.00,$191.00,100.00%
,,,Program:,OVERHEAD - 0000,"$4,529.00",$0.00,"$4,529.00",,$0.00,$0.00,"$4,529.00",$0.00,"$4,529.00",100.00%
,Function:,INSTRUCTION,RELATED,TECHNOLOGY - 2230,"$4,529.00",$0.00,"$4,529.00",,$0.00,$0.00,"$4,529.00",$0.00,"$4,529.00",100.00%
,,Cost,Center: DURHAM,COMMUNITY - 010,"$508,351.00",$0.00,"$508,351.00",,"$1,714.78","$1,714.78","$506,636.22","$280,550.41","$226,085.81",44.47%
,1000.0000.2110.51010.020,,Social Worker,Salaries,"$22,550.00",$0.00,"$22,550.00",,$0.00,$0.00,"$22,550.00","$22,513.76",$36.24,0.16%
,1000.0000.2110.52010.020,,Social Worker,Benefits,"$6,865.00",$0.00,"$6,865.00",,$0.00,$0.00,"$6,865.00",$0.00,"$6,865.00",100.00%
,1000.0000.2110.52310.020,,Social Worker,Retirement,"$1,079.00",$0.00,"$1,079.00",,$0.00,$0.00,"$1,079.00",$0.00,"$1,079.00",100.00%
,,,Program:,OVERHEAD - 0000,"$30,494.00",$0.00,"$30,494.00",,$0.00,$0.00,"$30,494.00","$22,513.76","$7,980.24",26.17%
,,Function:,Attendance &,Social Work - 2110,"$30,494.00",$0.00,"$30,494.00",,$0.00,$0.00,"$30,494.00","$22,513.76","$7,980.24",26.17%
,1000.0000.2120.51010.020,,Guidance Salaries,,"$75,001.00",$0.00,"$75,001.00",,$0.00,$0.00,"$75,001.00","$75,001.20",($0.20),0.00%
,1000.0000.2120.52010.020,,Benefits,,"$31,297.00",$0.00,"$31,297.00",,$0.00,$0.00,"$31,297.00",$0.00,"$31,297.00",100.00%
,1000.0000.2120.52310.020,,Retirement,,"$3,608.00",$0.00,"$3,608.00",,$0.00,$0.00,"$3,608.00",$0.00,"$3,608.00",100.00%
,1000.0000.2120.53000.020,,Purchased,Professional,$400.00,$0.00,,$400.00,$0.00,$0.00,$400.00,$0.00,$400.00,100.00%
,1000.0000.2120.54330.020,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.56100.020,,Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2120.56400.020,,Books,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,,,Program:,OVERHEAD - 0000,"$111,340.00",$0.00,"$111,340.00",,$0.00,$0.00,"$111,340.00","$75,001.20","$36,338.80",32.64%
,,,Function:,COUNSELING - 2120,"$111,340.00",$0.00,"$111,340.00",,$0.00,$0.00,"$111,340.00","$75,001.20","$36,338.80",32.64%
,1000.0000.2130.51010.020,,Nurse Salary,,"$80,487.00",$0.00,"$80,487.00",,$0.00,$0.00,"$80,487.00","$80,487.12",($0.12),0.00%
,1000.0000.2130.52010.020,,Nurse Benefits,,"$13,138.00",$0.00,"$13,138.00",,$0.00,$0.00,"$13,138.00",$0.00,"$13,138.00",100.00%
,1000.0000.2130.52310.020,,Retirement,,"$3,897.00",$0.00,"$3,897.00",,$0.00,$0.00,"$3,897.00",$0.00,"$3,897.00",100.00%
,,,,,,Page,24 of,44,,,,,,
