,1000.0000.2700.51180.900,,Bus Drivers Salaries,"$365,568.35","$570,066.78",,"$569,004.30",,"$584,250.00","$509,236.00","($75,014.00)",(12.84)
,1000.0000.2700.51200.900,,Substitute Salaries,"$31,217.68","$34,104.45",,"$72,676.09",,"$33,000.00","$33,000.00",$0.00,0.00
,1000.0000.2700.52000.900,,Sub Bus Driver Benefits,"$6,666.31","$3,827.71",,"$16,747.04",,"$1,650.00","$1,650.00",$0.00,0.00
,1000.0000.2700.52020.900,,Ed Tech Benefits,"$1,860.61",,$0.00,,$322.53,"$17,002.00","$1,623.00","($15,379.00)",(90.45)
,1000.0000.2700.52040.900,,Administrator Benefits,"$34,164.14","$17,766.66",,"$25,691.20",,"$32,679.00","$16,779.00","($15,900.00)",(48.66)
,1000.0000.2700.52060.900,,Transportation Office Clerical,Support Benefits$0.00,,$0.00,,$0.00,$0.00,"$13,351.00","$13,351.00",0.00
,1000.0000.2700.52080.900,,Bus Driver Benefits,"$163,247.36","$99,780.80",,"$178,010.00",,"$266,747.00","$251,592.00","($15,155.00)",(5.68)
,1000.0000.2700.52180.900,,Retirement,$8.13,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2700.52300.900,,Retirement,$0.00,,$0.00,,$371.49,$0.00,$0.00,$0.00,0.00
,1000.0000.2700.52320.900,,Retirement,$126.40,,$0.00,,$65.89,"$1,679.00","$1,679.00",$0.00,0.00
,1000.0000.2700.52340.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$2,080.00","$2,080.00",0.00
,1000.0000.2700.52380.900,,Retirement,$36.52,,$0.00,,"$4,243.15",$0.00,"$6,528.00","$6,528.00",0.00
,1000.0000.2700.53000.900,,Purchased Professional,"$43,138.51","$3,438.03",,,"$4,993.44","$11,605.00","$11,605.00",$0.00,0.00
,1000.0000.2700.53300.900,,Employee Training,$630.00,,$0.00,,"$2,886.22","$1,359.00","$2,500.00","$1,141.00",83.96
,1000.0000.2700.53400.900,,Contracted Services,$660.00,,$463.00,,$0.00,"$4,000.00","$71,400.00","$67,400.00","1,685.00"
,1000.0000.2700.54300.900,,Purchased Repair/Maint,"$35,184.22","$44,103.37",,"$31,902.28",,"$60,000.00","$70,000.00","$10,000.00",16.67
,1000.0000.2700.54450.900,,Bus Garage Lease,"$12,500.00","$12,500.00",,"$12,500.00",,"$12,875.00","$12,875.00",$0.00,0.00
,1000.0000.2700.55100.900,,Student Transportation,"Contracted Servic$4,962.50",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2700.55200.900,,Insurance,"$11,125.10","$13,912.00",,"$19,527.00",,"$16,694.00","$30,420.00","$13,726.00",82.22
,Page,69 of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,8,Transportation,& Buses- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2700.56260.900,,Fleet Fuel,"$85,180.39","$102,063.70",,"$111,572.95",,"$150,405.00","$229,500.00","$79,095.00",52.59
,1000.0000.2700.56700.900,,Supplies,"$41,768.56","$64,190.68",,"$86,717.99",,"$65,000.00","$68,400.00","$3,400.00",5.23
,1000.0000.2700.58100.900,,Dues and Fees,"$1,736.25","$4,581.00",,,"$4,266.86","$5,700.00","$5,700.00",$0.00,0.00
,1000.0000.2700.58310.900,,Principal-Bus Lease Purchase,"$358,799.82","$95,588.94",,"$64,488.40",,"$65,310.00","$84,000.00","$18,690.00",28.62
Program:,OVERHEAD,- 0000,,"$1,305,617.02","$1,152,101.56",,"$1,301,583.19",,"$1,438,023.00","$1,505,557.00","$67,534.00",4.70
Function:,,TRANSPORTATION,- 2700,"$1,305,617.02","$1,152,101.56",,"$1,301,583.19",,"$1,438,023.00","$1,505,557.00","$67,534.00",4.70
,1000.0000.2750.51020.900,,Ed Tech Salaries,"$3,637.15","$9,324.35",,,"$5,491.36",$0.00,$0.00,$0.00,0.00
,1000.0000.2750.51180.900,,Support Wages,"$41,573.78","$35,618.62",,"$31,758.47",,$0.00,"$32,513.00","$32,513.00",0.00
,1000.0000.2750.52020.900,,Ed Tech Benefits,"$1,111.17",,$133.49,,"$1,221.83",$0.00,$0.00,$0.00,0.00
,1000.0000.2750.52080.900,,Support Benefits,"$8,644.50","$4,104.16",,,"$8,743.35",$0.00,"$11,912.00","$11,912.00",0.00
,1000.0000.2750.52320.900,,Retirement,$147.97,,$59.16,,$666.52,$0.00,$0.00,$0.00,0.00
,1000.0000.2750.52380.900,,Retirement,$0.00,,$0.00,,$309.30,$0.00,"$1,626.00","$1,626.00",0.00
,1000.0000.2750.55190.900,,Purchased Services,$244.16,,$0.00,,"$2,339.22",$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$55,358.73","$49,239.78",,"$50,530.05",,$0.00,"$46,051.00","$46,051.00",0.00
Function:,,TRANSPORTATION,SPECIAL ED - 2750,"$55,358.73","$49,239.78",,"$50,530.05",,$0.00,"$46,051.00","$46,051.00",0.00
Cost,Center:,SYSTEM WIDE,- 900,"$1,360,975.75","$1,201,341.34",,"$1,352,113.24",,"$1,438,023.00","$1,551,608.00","$113,585.00",7.90
Grand,Total:,,,"$1,360,975.75","$1,201,341.34",,"$1,352,113.24",,"$1,438,023.00","$1,551,608.00","$113,585.00",7.90
,,,,,End,of Report,,,,,,
,Page 70,of 80,,,,,,,,,,
