,,,,,,,,,Final,FY22 Version,,,,,,
481,1000-2800-2160-55800-030,,Travel,,,,150.00,161.08,,160.00,0.00,160.00,0.00,160.00,0.00,0.00%
,,,,,,Totals,"19,622.00","1,745.98",,"14,892.00",0.00,"15,514.00","15,764.83","16,012.11",498.11,3.21%
482,,Cost Center:,040 -,MAST LANDING,,,,,,,,,,,,
483,1000-2800-2160-51010-040,,Teacher,Salaries,,,"14,110.00","8,124.05",,"10,739.00","10,739.04","11,423.00","12,799.24","12,838.17","1,415.17",12.39%
484,1000-2800-2160-52010-040,,Teacher,Benefits,,,"4,802.00",179.96,,931.00,199.10,957.00,22.23,240.37,-716.63,-74.88%
485,1000-2800-2160-52310-040,,,Retirement,,,560.00,264.83,,447.00,446.69,475.00,109.08,534.07,59.07,12.44%
486,1000-2800-2160-55800-040,,Travel,,,,150.00,10.32,,160.00,0.00,20.00,0.00,20.00,0.00,0.00%
,,,,,,Totals,"19,622.00","8,579.16",,"12,277.00","11,384.83","12,875.00","12,930.55","13,632.61",757.61,5.88%
487,,Cost Center:,050 -,FREEPORT,MIDDLE,SCHOOL,,,,,,,,,,
488,1000-2800-2160-51010-050,,Teacher,Salaries,,,"8,997.00","9,281.50",,"5,370.00","5,369.52","5,712.00","6,399.62","7,475.51","1,763.51",30.87%
489,1000-2800-2160-52010-050,,Teacher,Benefits,,,"2,514.00","1,155.88",,465.00,99.56,479.00,11.13,139.57,-339.43,-70.86%
490,1000-2800-2160-52310-050,,,Retirement,,,357.00,369.77,,223.00,223.34,238.00,54.54,310.98,72.98,30.66%
491,1000-2800-2160-55800-050,,Travel,,,,150.00,0.00,,100.00,0.00,0.00,0.00,0.00,0.00,0.00%
,,,,,,Totals,"12,018.00","10,807.15",,"6,158.00","5,692.42","6,429.00","6,465.29","7,926.06","1,497.06",23.29%
492,,Cost Center:,300 -,FREEPORT,HIGH SCHOOL,,,,,,,,,,,
493,1000-2800-2160-51010-300,,Teacher,Salaries,,,"28,219.00","6,342.62",,"5,370.00","5,369.53","5,680.00","6,399.50","6,419.09",739.09,13.01%
494,1000-2800-2160-52010-300,,Teacher,Benefits,,,"9,604.00",186.86,,465.00,99.35,477.00,11.10,120.19,-356.81,-74.80%
495,1000-2800-2160-52310-300,,,Retirement,,,"1,270.00",132.41,,223.00,223.35,237.00,54.48,267.03,30.03,12.67%
496,1000-2800-2160-55800-300,,Travel,,,,150.00,0.00,,100.00,0.00,0.00,0.00,0.00,0.00,0.00%
,,,,,,Totals,"39,243.00","6,661.89",,"6,158.00","5,692.23","6,394.00","6,465.08","6,806.31",412.31,6.45%
497,Function:,2170 - SPED PT,,,,,,,,,,,,,,
498,,Cost Center:,950 - K-8,,,,,,,,,,,,,
499,1000-2800-2170-51010-950,,,TEACHERS,SALARIES,,"31,999.00","33,855.78",,"35,301.00","35,300.98","37,308.00","47,911.30","41,925.22","4,617.22",12.38%
500,1000-2800-2170-52010-950,,TEACHER,,BENEFITS,,"4,438.00","2,633.88",,"2,509.00","2,873.02","2,589.00","3,201.90","10,843.16","8,254.16",318.82%
501,1000-2800-2170-52310-950,,,Retirement,,,"1,270.00","1,354.07",,"1,469.00","1,468.48","1,552.00",351.36,"1,744.09",192.09,12.38%
502,1000-2800-2170-53440-950,,,Professional,Services,,0.00,55.44,,0.00,0.00,0.00,0.00,0.00,0.00,0.00%
503,1000-2800-2170-55800-950,,Travel,,,,350.00,0.00,,350.00,0.00,0.00,0.00,0.00,0.00,0.00%
,,,,,,Totals,"38,057.00","37,899.17",,"39,629.00","39,642.48","41,449.00","51,464.56","54,512.47","13,063.47",31.52%
,,,,,,Article 2 Totals,"4,606,796.00","4,303,887.07",,"4,592,878.00","4,130,184.37","4,688,560.00","4,309,007.58","4,781,322.85","92,762.85",1.98%
,,,,,,2019,2019,,2020,2020,2021,2021,2022,,,
,,,,,,Total,Budget Total Activity,,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff Notes
Article 3 - CAREER AND,TECHNICAL EDUCATION,,,,,,,,,,,,,,,
504 Program:,3000 - CTE,PROGRAM,,,,,,,,,,,,,,
505,Function:,1000 - REGULAR,INSTRUCTION,,,,,,,,,,,,,
506,,Cost Center:,300 -,FREEPORT,HIGH SCHOOL,,,,,,,,,,,
,,,,,,,,,,10 of 24,,,,,,
