,,,,,RSU,No. 5,,,,,,
,Program:,ELEMENTARY,PROGRAMS - 1100,"$2,279,786.00",$0.00,"$2,279,786.00","$11,878.61","$11,878.61","$2,267,907.39","$1,158,368.22","$1,109,539.17",48.67%
,Function:,REGULAR,INSTRUCTION - 1000,"$2,279,786.00",$0.00,"$2,279,786.00","$11,878.61","$11,878.61","$2,267,907.39","$1,158,368.22","$1,109,539.17",48.67%
,,Cost Center: MAST,LANDING - 040,"$2,279,786.00",$0.00,"$2,279,786.00","$11,878.61","$11,878.61","$2,267,907.39","$1,158,368.22","$1,109,539.17",48.67%
,1000.1100.1000.51010.050,Teacher Salaries,,"$1,877,521.00",$0.00,"$1,877,521.00",$0.00,$0.00,"$1,877,521.00","$1,827,361.81","$50,159.19",2.67%
,1000.1100.1000.51020.050,Ed Tech Salaries,,"$122,797.00",$0.00,"$122,797.00",$0.00,$0.00,"$122,797.00","$93,793.90","$29,003.10",23.62%
,1000.1100.1000.51230.050,Substitute Wages,,"$72,475.00",$0.00,"$72,475.00",$0.00,$0.00,"$72,475.00",$0.00,"$72,475.00",100.00%
,1000.1100.1000.51500.050,Stipends,,"$4,650.00",$0.00,"$4,650.00",$0.00,$0.00,"$4,650.00",$0.00,"$4,650.00",100.00%
,1000.1100.1000.52000.050,Stipend Benefits,,$79.00,$0.00,$79.00,$0.00,$0.00,$79.00,$0.00,$79.00,100.00%
,1000.1100.1000.52010.050,Teacher Benefits,,"$659,192.00",$0.00,"$659,192.00",$0.00,$0.00,"$659,192.00",$0.00,"$659,192.00",100.00%
,1000.1100.1000.52020.050,Ed Tech Benefits,,"$27,748.00",$0.00,"$27,748.00",$0.00,$0.00,"$27,748.00",$0.00,"$27,748.00",100.00%
,1000.1100.1000.52030.050,Substitute Benefits,,"$5,544.00",$0.00,"$5,544.00",$0.00,$0.00,"$5,544.00",$0.00,"$5,544.00",100.00%
,1000.1100.1000.52300.050,Retirement,,$208.00,$0.00,$208.00,$0.00,$0.00,$208.00,$0.00,$208.00,100.00%
,1000.1100.1000.52310.050,Retirement,,"$90,587.00",$0.00,"$90,587.00",$0.00,$0.00,"$90,587.00",$0.00,"$90,587.00",100.00%
,1000.1100.1000.52320.050,Retirement,,"$5,489.00",$0.00,"$5,489.00",$0.00,$0.00,"$5,489.00",$0.00,"$5,489.00",100.00%
,1000.1100.1000.52330.050,Retirement,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
,1000.1100.1000.53400.050,Purchased,Professional,"$22,168.00",$0.00,"$22,168.00",$0.00,$0.00,"$22,168.00","$1,660.00","$20,508.00",92.51%
,1000.1100.1000.54300.050,Copiers Repair/Maint,,"$16,100.00",$0.00,"$16,100.00","$3,532.78","$3,532.78","$12,567.22",$0.00,"$12,567.22",78.06%
,1000.1100.1000.54330.050,Software,,"$5,908.00",$0.00,"$5,908.00",$0.00,$0.00,"$5,908.00",$0.00,"$5,908.00",100.00%
,1000.1100.1000.55800.050,Travel,,"$3,000.00",$0.00,"$3,000.00",$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.1100.1000.56100.050,Instructional,Supplies,"$43,313.00",$0.00,"$43,313.00","$1,869.47","$1,869.47","$41,443.53","$1,060.54","$40,382.99",93.24%
,1000.1100.1000.56400.050,Books,,"$12,000.00",$0.00,"$12,000.00",$0.00,$0.00,"$12,000.00",$0.00,"$12,000.00",100.00%
,1000.1100.1000.57300.050,Equipment,,"$21,425.00",$0.00,"$21,425.00",$0.00,$0.00,"$21,425.00","$1,660.60","$19,764.40",92.25%
,1000.1100.1000.58100.050,Dues & Fees,,"$2,120.00",$0.00,"$2,120.00",$0.00,$0.00,"$2,120.00",$0.00,"$2,120.00",100.00%
,Program:,ELEMENTARY,PROGRAMS - 1100,"$2,992,774.00",$0.00,"$2,992,774.00","$5,402.25","$5,402.25","$2,987,371.75","$1,925,536.85","$1,061,834.90",35.48%
,1000.4200.1000.53000.050,JMG,,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Program:,ALT (AT RISK) ED,PROGRAMS - 4200,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Function:,REGULAR,INSTRUCTION - 1000,"$3,019,774.00",$0.00,"$3,019,774.00","$32,402.25","$32,402.25","$2,987,371.75","$1,925,536.85","$1,061,834.90",35.16%
,Cost Center:,FREEPORT MIDDLE,SCHOOL - 050,"$3,019,774.00",$0.00,"$3,019,774.00","$32,402.25","$32,402.25","$2,987,371.75","$1,925,536.85","$1,061,834.90",35.16%
,1000.1200.1000.51010.300,Teacher Salaries,,"$3,227,461.00",$0.00,"$3,227,461.00",$360.00,$360.00,"$3,227,101.00","$2,968,730.14","$258,370.86",8.01%
,1000.1200.1000.51020.300,Ed Tech Salaries,,"$119,774.00",$0.00,"$119,774.00",$0.00,$0.00,"$119,774.00","$56,165.14","$63,608.86",53.11%
,1000.1200.1000.51230.300,Substitute Wages,,"$66,900.00",$0.00,"$66,900.00",$0.00,$0.00,"$66,900.00",$0.00,"$66,900.00",100.00%
,,,,,Page 5,of 44,,,,,,
,,,,,RSU,No. 5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,
,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.1200.1000.51500.300,,Stipends,,"$4,066.00",$0.00,"$4,066.00",$0.00,$0.00,"$4,066.00",$0.00,"$4,066.00",100.00%
1000.1200.1000.52010.300,,Teacher Benefits,,"$1,071,907.00",$0.00,"$1,071,907.00",$5.15,$5.15,"$1,071,901.85","$3,522.13","$1,068,379.72",99.67%
1000.1200.1000.52020.300,,Ed Tech Benefits,,"$36,124.00",$0.00,"$36,124.00",$0.00,$0.00,"$36,124.00",$0.00,"$36,124.00",100.00%
1000.1200.1000.52030.300,,Substitute Benefits,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
1000.1200.1000.52310.300,,Retirement,,"$154,235.00",$0.00,"$154,235.00",$16.10,$16.10,"$154,218.90",$0.00,"$154,218.90",99.99%
1000.1200.1000.52320.300,,Retirement,,"$5,354.00",$0.00,"$5,354.00",$0.00,$0.00,"$5,354.00",$0.00,"$5,354.00",100.00%
1000.1200.1000.52330.300,,Retirement,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
1000.1200.1000.53000.300,,School Resource,Officer,"$39,000.00",$0.00,"$39,000.00",$0.00,$0.00,"$39,000.00",$0.00,"$39,000.00",100.00%
1000.1200.1000.53400.300,,Purchased Professional,Services,"$56,589.00",$0.00,"$56,589.00",$0.00,$0.00,"$56,589.00",$0.00,"$56,589.00",100.00%
1000.1200.1000.54300.300,,Copier Repair/Maint,,"$40,000.00",$0.00,"$40,000.00","$23,757.22","$23,757.22","$16,242.78",$0.00,"$16,242.78",40.61%
1000.1200.1000.54330.300,,Software,,$200.00,$0.00,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
1000.1200.1000.55800.300,,Travel,,"$1,500.00",$0.00,"$1,500.00",$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
1000.1200.1000.56100.300,,Instructional Supplies,High School,"$54,155.00",$0.00,"$54,155.00",$0.00,$0.00,"$54,155.00",$0.00,"$54,155.00",100.00%
1000.1200.1000.56400.300,,Books High School,,"$14,050.00",$0.00,"$14,050.00",$0.00,$0.00,"$14,050.00",$0.00,"$14,050.00",100.00%
1000.1200.1000.57300.300,,Equipment High,School,"$8,466.00",$0.00,"$8,466.00",$0.00,$0.00,"$8,466.00",$0.00,"$8,466.00",100.00%
1000.1200.1000.58100.300,,Dues and Fees,,"$1,264.00",$0.00,"$1,264.00",$0.00,$0.00,"$1,264.00",$0.00,"$1,264.00",100.00%
,Program:,SECONDARY,PROGRAMS - 1200,"$4,901,945.00",$0.00,"$4,901,945.00","$24,138.47","$24,138.47","$4,877,806.53","$3,028,417.41","$1,849,389.12",37.73%
1000.4200.1000.53000.300,,JMG,,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Program: ALT,(AT RISK) ED,PROGRAMS - 4200,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$4,928,945.00",$0.00,"$4,928,945.00","$51,138.47","$51,138.47","$4,877,806.53","$3,028,417.41","$1,849,389.12",37.52%
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$4,928,945.00",$0.00,"$4,928,945.00","$51,138.47","$51,138.47","$4,877,806.53","$3,028,417.41","$1,849,389.12",37.52%
1000.4100.1000.53000.900,,Purchased Professional,Services,"$6,300.00",$0.00,"$6,300.00",$0.00,$0.00,"$6,300.00",$0.00,"$6,300.00",100.00%
1000.4100.1000.53300.900,,Employee Training,& Development,"$2,500.00",$0.00,"$2,500.00",$0.00,$0.00,"$2,500.00",$0.00,"$2,500.00",100.00%
1000.4100.1000.55800.900,,Travel - district wide,,$200.00,$0.00,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
,,Program:,ELL - 4100,"$9,000.00",$0.00,"$9,000.00",$0.00,$0.00,"$9,000.00",$0.00,"$9,000.00",100.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$9,000.00",$0.00,"$9,000.00",$0.00,$0.00,"$9,000.00",$0.00,"$9,000.00",100.00%
,,Cost Center: SYSTEM,WIDE - 900,"$9,000.00",$0.00,"$9,000.00",$0.00,$0.00,"$9,000.00",$0.00,"$9,000.00",100.00%
1000.4100.1000.51010.950,,Teachers Salary,,"$65,859.00",$0.00,"$65,859.00",$0.00,$0.00,"$65,859.00","$149,158.97","($83,299.97)",-126.48%
1000.4100.1000.52010.950,,Teacher Benefits,,"$11,193.00",$0.00,"$11,193.00",$0.00,$0.00,"$11,193.00","$2,800.10","$8,392.90",74.98%
1000.4100.1000.52310.950,,Retirement,,"$3,187.00",$0.00,"$3,187.00",$0.00,$0.00,"$3,187.00",$0.00,"$3,187.00",100.00%
1000.4100.1000.56100.950,,Instructional Supplies,,$500.00,$0.00,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,,Program:,ELL - 4100,"$80,739.00",$0.00,"$80,739.00",$0.00,$0.00,"$80,739.00","$151,959.07","($71,220.07)",-88.21%
,,,,,Page 6,of 44,,,,,,
