1066 1000-0000-2600-56013-020,,Major Maintenance,,"15,500.00","14,643.17","10,600.00","15,704.74","9,900.00","4,421.41","6,000.00","-3,900.00",-39.39%,
1067 1000-0000-2600-56220-020,,Electricity,,"29,082.00","27,375.79","30,000.00","24,508.45","30,000.00","30,000.00","26,583.00","-3,417.00",-11.39%,
1068 1000-0000-2600-56240-020,,Heating Fuel,,"38,553.00","43,661.82","38,553.00","25,911.84","38,553.00","38,500.00","38,553.00",0.00,0.00%,
,,,Totals,"385,832.00","362,378.09","391,259.00","360,222.72","404,620.00","339,422.70","406,137.67","1,517.67",0.38%,
1069,Cost Center:,030 - POWNAL,ELEMENTARY,,,,,,,,,,
1070 1000-0000-2600-51180-030,,Custodial Salaries,,"65,904.00","65,293.15","73,565.00","84,510.07","76,213.00","94,701.67","54,904.76","-21,308.24",-27.96%,
1071 1000-0000-2600-52080-030,,Custodian Benefits,,"32,445.00","27,213.29","30,418.00","33,107.12","38,023.00","11,554.00","15,970.92","-22,052.08",-58.00%,6
1072 1000-0000-2600-54300-030,,Purchased,Repairs/Maint,"34,575.00","38,368.20","33,595.00","32,748.88","35,415.00","13,571.82","35,415.00",0.00,0.00%,
1073 1000-0000-2600-55200-030,,Insurance,,"6,841.00","7,587.86","8,499.00","7,787.57","9,034.00","8,194.96","9,833.95",799.95,8.85%,
1074 1000-0000-2600-55320-030,,Telephone,,"3,811.00","4,688.76","3,811.00","2,733.13","4,688.00",891.47,"4,688.00",0.00,0.00%,
1075 1000-0000-2600-55800-030,,Travel,,0.00,261.85,0.00,0.00,260.00,32.20,260.00,0.00,0.00%,
1076 1000-0000-2600-56000-030,,Supplies,,"11,450.00","7,945.17","11,450.00","9,494.54","11,450.00","4,887.64","11,450.00",0.00,0.00%,
1077 1000-0000-2600-56011-030,,Materials for Repair,,"5,750.00","2,296.03","4,250.00","2,622.64","4,250.00","2,373.55","4,250.00",0.00,0.00%,
1078 1000-0000-2600-56013-030,,Major Maintenance,,"9,500.00","59,411.24","7,000.00","6,652.89","7,000.00",0.00,"5,000.00","-2,000.00",-28.57%,
1079 1000-0000-2600-56220-030,,Electricity,,"14,869.00","14,764.99","16,000.00","14,119.98","16,000.00","15,000.00","12,583.00","-3,417.00",-21.36%,
1080 1000-0000-2600-56240-030,,Heating Fuel,,"22,630.00","25,278.29","19,000.00","16,786.16","26,000.00","26,000.00","26,000.00",0.00,0.00%,
,,,Totals,"207,775.00","253,108.83","207,588.00","210,562.98","228,333.00","177,207.31","180,355.63","-47,977.37",-21.01%,
,,,,,,21 of 24,,,,,,,
